"",BBFB1.Q.N.DE.DK.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:11,
1991-01,20.005,
1991-04,33.634,
1991-07,23.722,
1991-10,27.169,
1992-01,53.322,
1992-04,-44.902,
1992-07,110.198,
1992-10,42.058,
1993-01,17.782,
1993-04,-5.523,
1993-07,-7.679,
1993-10,-23.464,
1994-01,83.474,
1994-04,66.987,
1994-07,85.113,
1994-10,24.008,
1995-01,94.540,
1995-04,82.668,
1995-07,82.054,
1995-10,402.427,
1996-01,-49.040,
1996-04,-62.216,
1996-07,83.859,
1996-10,-103.092,
1997-01,25.235,
1997-04,197.248,
1997-07,-4.966,
1997-10,133.833,
1998-01,124.634,
1998-04,40.933,
1998-07,130.322,
1998-10,117.967,
1999-01,221.726,
1999-04,67.828,
1999-07,81.677,
1999-10,247.310,
2000-01,-38.959,
2000-04,13.366,
2000-07,29.246,
2000-10,-2.954,
2001-01,127.861,
2001-04,-69.538,
2001-07,74.187,
2001-10,110.569,
2002-01,25.832,
2002-04,78.261,
2002-07,-10.376,
2002-10,13.510,
2003-01,96.613,
2003-04,85.479,
2003-07,61.688,
2003-10,193.878,
2004-01,93.907,
2004-04,53.877,
2004-07,319.087,
2004-10,584.371,
2005-01,65.683,
2005-04,166.777,
2005-07,234.006,
2005-10,244.436,
2006-01,185.786,
2006-04,-192.770,
2006-07,-94.659,
2006-10,153.938,
2007-01,128.386,
2007-04,150.433,
2007-07,310.641,
2007-10,-37.441,
2008-01,158.629,
2008-04,62.404,
2008-07,298.829,
2008-10,268.771,
2009-01,-134.653,
2009-04,270.005,
2009-07,1115.438,
2009-10,596.186,
2010-01,-130.739,
2010-04,399.615,
2010-07,63.965,
2010-10,565.493,
2011-01,-302.272,
2011-04,-469.242,
2011-07,665.264,
2011-10,257.703,
2012-01,-612.689,
2012-04,309.555,
2012-07,280.114,
2012-10,1594.446,
2013-01,-1534.900,
2013-04,450.910,
2013-07,128.658,
2013-10,925.551,
2014-01,-415.541,Provisional value
2014-04,668.920,Provisional value
2014-07,-1426.816,Provisional value
2014-10,955.936,Provisional value
