"",BBK01.OECO02Q,BBK01.OECO02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:00,
2002-01,0.172,
2002-04,0.180,
2002-07,0.103,
2002-10,0.139,
2003-01,0.131,
2003-04,0.103,
2003-07,0.186,
2003-10,0.128,
2004-01,0.136,
2004-04,0.104,
2004-07,0.237,
2004-10,0.259,
2005-01,0.452,
2005-04,0.397,
2005-07,0.406,
2005-10,0.373,
2006-01,0.549,
2006-04,0.434,
2006-07,0.401,
2006-10,0.454,
2007-01,0.633,
2007-04,0.398,
2007-07,0.348,
2007-10,0.432,
2008-01,0.451,
2008-04,0.477,
2008-07,0.311,
2008-10,0.478,
2009-01,0.651,
2009-04,0.488,
2009-07,0.668,
2009-10,0.538,
2010-01,0.653,
2010-04,0.397,
2010-07,0.346,
2010-10,0.381,
2011-01,0.418,
2011-04,0.366,
2011-07,0.411,
2011-10,0.310,
2012-01,0.665,
2012-04,0.305,
2012-07,0.340,
2012-10,0.389,
2013-01,0.429,
2013-04,0.289,
2013-07,0.264,
2013-10,0.259,
2014-01,0.204,
2014-04,0.167,
2014-07,0.289,
