"",BBK01.CEB202,BBK01.CEB202_FLAGS
"",Currency and deposits debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:25,
1991-01,1076.6,
1991-04,1077.3,
1991-07,1065.3,
1991-10,1115.4,
1992-01,1097.3,
1992-04,1084.6,
1992-07,1099.0,
1992-10,1150.0,
1993-01,1156.1,
1993-04,1206.7,
1993-07,1218.4,
1993-10,1304.0,
1994-01,1255.1,
1994-04,1259.5,
1994-07,1246.6,
1994-10,1323.6,
1995-01,1301.8,
1995-04,1328.3,
1995-07,1356.0,
1995-10,1432.8,
1996-01,1461.7,
1996-04,1481.3,
1996-07,1515.1,
1996-10,1593.5,
1997-01,1613.0,
1997-04,1668.7,
1997-07,1663.6,
1997-10,1759.5,
1998-01,1785.6,
1998-04,1835.2,
1998-07,1855.4,
1998-10,1918.2,
1999-01,1918.2,
1999-04,1942.6,
1999-07,2010.0,
1999-10,2035.7,
2000-01,2085.9,
2000-04,2070.0,
2000-07,2087.5,
2000-10,2191.3,
2001-01,2231.7,
2001-04,2244.0,
2001-07,2299.0,
2001-10,2324.7,
2002-01,2267.2,
2002-04,2314.1,
2002-07,2372.7,
2002-10,2461.8,
2003-01,2516.3,
2003-04,2602.9,
2003-07,2526.3,
2003-10,2556.9,
2004-01,2565.2,
2004-04,2645.1,
2004-07,2661.3,
2004-10,2710.0,
2005-01,2797.6,
2005-04,2885.1,
2005-07,2910.9,
2005-10,2871.1,
2006-01,2994.6,
2006-04,3063.7,
2006-07,3039.5,
2006-10,3117.5,
2007-01,3199.2,
2007-04,3259.6,
2007-07,3356.9,
2007-10,3518.9,
2008-01,3535.9,
2008-04,3532.8,
2008-07,3760.0,
2008-10,3861.6,
2009-01,3628.5,
2009-04,3682.8,
2009-07,3445.3,
2009-10,3443.9,
2010-01,3424.0,
2010-04,3633.1,
2010-07,3344.4,
2010-10,3300.1,
2011-01,3195.1,
2011-04,3204.2,
2011-07,3449.2,
2011-10,3438.4,
2012-01,3655.7,
2012-04,3689.6,
2012-07,3594.7,
2012-10,3355.1,
2013-01,3284.0,
2013-04,3253.0,
2013-07,3126.7,
2013-10,3065.3,
2014-01,3069.6,
