"",BBFB1.Q.N.DE.SE.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:41,
1991-01,20.042,
1991-04,17.784,
1991-07,-17.349,
1991-10,25.129,
1992-01,15.535,
1992-04,-7.931,
1992-07,21.714,
1992-10,-66.341,
1993-01,0.608,
1993-04,26.340,
1993-07,-31.234,
1993-10,38.458,
1994-01,-7.521,
1994-04,-32.620,
1994-07,-3.135,
1994-10,9.185,
1995-01,0.318,
1995-04,5.235,
1995-07,-3.195,
1995-10,-25.590,
1996-01,-4.957,
1996-04,2.049,
1996-07,0.446,
1996-10,-0.669,
1997-01,2.875,
1997-04,19.414,
1997-07,-1.859,
1997-10,-4.561,
1998-01,-0.555,
1998-04,-6.994,
1998-07,-3.017,
1998-10,8.487,
1999-01,13.502,
1999-04,27.975,
1999-07,25.517,
1999-10,-12.258,
2000-01,-28.276,
2000-04,0.119,
2000-07,8.796,
2000-10,-11.106,
2001-01,8.370,
2001-04,-3.056,
2001-07,99.217,
2001-10,162.119,
2002-01,134.775,
2002-04,44.791,
2002-07,-0.983,
2002-10,-23.702,
2003-01,-445.461,
2003-04,0.187,
2003-07,-1.447,
2003-10,-1.181,
2004-01,28.716,
2004-04,4.314,
2004-07,33.052,
2004-10,-62.894,
2005-01,1.275,
2005-04,1.841,
2005-07,-0.593,
2005-10,61.556,
2006-01,-139.623,
2006-04,171.059,
2006-07,-35.708,
2006-10,-3.591,
2007-01,-1.133,
2007-04,-56.625,
2007-07,394.324,
2007-10,-147.766,
2008-01,238.061,
2008-04,-1.487,
2008-07,47.955,
2008-10,86.664,
2009-01,-282.546,
2009-04,-10.794,
2009-07,19.874,
2009-10,-1.687,
2010-01,0.406,
2010-04,-5.980,
2010-07,-4.769,
2010-10,-2.529,
2011-01,0.273,
2011-04,78.261,
2011-07,-16.988,
2011-10,-19.147,
2012-01,-6.909,
2012-04,-61.903,
2012-07,-11.639,
2012-10,-14.172,
2013-01,-16.854,
2013-04,25.622,
2013-07,52.864,
2013-10,232.122,
2014-01,-2.391,Provisional value
2014-04,9.009,Provisional value
2014-07,157.512,Provisional value
2014-10,-0.307,Provisional value
