"",BBK01.OECI08N,BBK01.OECI08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:08,
2002-01,5.040,
2002-04,2.973,
2002-07,2.925,
2002-10,3.300,
2003-01,3.263,
2003-04,3.157,
2003-07,3.834,
2003-10,3.801,
2004-01,3.566,
2004-04,3.500,
2004-07,4.604,
2004-10,4.835,
2005-01,12.029,
2005-04,11.971,
2005-07,11.646,
2005-10,11.309,
2006-01,11.101,
2006-04,10.876,
2006-07,10.574,
2006-10,10.423,
2007-01,10.517,
2007-04,10.359,
2007-07,10.099,
2007-10,10.229,
2008-01,10.097,
2008-04,10.362,
2008-07,9.960,
2008-10,10.037,
2009-01,10.366,
2009-04,10.974,
2009-07,11.756,
2009-10,12.345,
2010-01,12.524,
2010-04,12.379,
2010-07,12.415,
2010-10,12.546,
2011-01,12.286,
2011-04,11.792,
2011-07,11.657,
2011-10,11.607,
2012-01,13.153,
2012-04,12.916,
2012-07,12.958,
2012-10,13.193,
2013-01,12.418,
2013-04,12.256,
2013-07,12.008,
2013-10,12.007,
2014-01,11.710,
2014-04,11.473,
2014-07,11.669,
