"",BBK01.PQM359,BBK01.PQM359_FLAGS
"",Lending to domestic self-employed persons / Short-term / Mortgage banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:08,
1968-10,0.012,
1969-01,0.012,
1969-04,0.016,
1969-07,0.011,
1969-10,0.014,
1970-01,0.016,
1970-04,0.020,
1970-07,0.020,
1970-10,0.019,
1971-01,0.021,
1971-04,0.034,
1971-07,0.030,
1971-10,0.032,
1972-01,0.029,
1972-04,0.032,
1972-07,0.030,
1972-10,0.030,
1973-01,0.023,
1973-04,0.034,
1973-07,0.034,
1973-10,0.033,
1974-01,0.038,
1974-04,0.046,
1974-07,0.044,
1974-10,0.044,
1975-01,0.056,
1975-04,0.061,
1975-07,0.056,
1975-10,0.057,
1976-01,0.046,
1976-04,0.046,
1976-07,0.048,
1976-10,0.055,
1977-01,0.050,
1977-04,0.054,
1977-07,0.054,
1977-10,0.050,
1978-01,0.061,
1978-04,0.075,
1978-07,0.054,
1978-10,0.046,
1979-01,0.045,
1979-04,0.058,
1979-07,0.053,
1979-10,0.042,
1980-01,0.049,
1980-04,0.047,
1980-07,0.041,
1980-10,0.050,
1981-01,0.045,
1981-04,0.053,
1981-07,0.051,
1981-10,0.038,
1982-01,0.037,
1982-04,0.041,
1982-07,0.052,
1982-10,0.055,
1983-01,0.049,
1983-04,0.071,
1983-07,0.064,
1983-10,0.071,
1984-01,0.064,
1984-04,0.058,
1984-07,0.062,
1984-10,0.060,
1985-01,0.086,
1985-04,0.087,
1985-07,0.086,
1985-10,0.102,
1986-01,0.047,
1986-04,0.049,
1986-07,0.049,
1986-10,0.048,
1987-01,0.047,
1987-04,0.054,
1987-07,0.038,
1987-10,0.049,
1988-01,0.047,
1988-04,0.062,
1988-07,0.041,
1988-10,0.049,
1989-01,0.043,
1989-04,0.052,
1989-07,0.057,
1989-10,0.064,
1990-01,0.054,
1990-04,0.058,
1990-07,0.078,
1990-10,0.088,
1991-01,0.103,
1991-04,0.120,
1991-07,0.172,
1991-10,0.179,
1992-01,0.195,
1992-04,0.239,
1992-07,0.277,
1992-10,0.361,
1993-01,0.374,
1993-04,0.366,
1993-07,0.328,
1993-10,0.415,
1994-01,0.371,
1994-04,0.376,
1994-07,0.373,
1994-10,0.441,
1995-01,0.449,
1995-04,0.521,
1995-07,0.547,
1995-10,0.518,
1996-01,0.614,
1996-04,0.544,
1996-07,0.604,
1996-10,0.709,
1997-01,0.798,
1997-04,0.814,
1997-07,0.860,
1997-10,0.820,
1998-01,0.758,
1998-04,0.803,
1998-07,0.835,
1998-10,0.908,
1999-01,0.743,
1999-04,0.766,
1999-07,0.692,
1999-10,0.679,
2000-01,0.808,
2000-04,0.938,
2000-07,1.036,
2000-10,1.009,
2001-01,0.935,
2001-04,0.956,
2001-07,0.958,
2001-10,0.940,
2002-01,0.974,
2002-04,0.811,
2002-07,0.801,
2002-10,0.961,
2003-01,1.290,
2003-04,1.209,
2003-07,1.010,
2003-10,0.965,
2004-01,1.068,
2004-04,1.083,
2004-07,1.084,
2004-10,1.144,
2005-01,1.036,
2005-04,0.970,
2005-07,0.916,
2005-10,0.757,
2006-01,0.683,
2006-04,0.689,
2006-07,0.613,
2006-10,0.525,
2007-01,0.512,
2007-04,0.452,
2007-07,0.548,
2007-10,0.617,
2008-01,0.558,
2008-04,0.536,
2008-07,0.564,
2008-10,0.578,
2009-01,0.534,
2009-04,0.445,
2009-07,0.427,
2009-10,0.397,
2010-01,0.363,
2010-04,0.326,
2010-07,0.314,
2010-10,0.253,
2011-01,0.251,
2011-04,0.252,
2011-07,0.247,
2011-10,0.219,
2012-01,0.243,
2012-04,0.222,
2012-07,0.201,
2012-10,0.172,
2013-01,0.149,
2013-04,0.146,
2013-07,0.134,
2013-10,0.110,
2014-01,0.097,
2014-04,0.097,
2014-07,0.087,
2014-10,0.083,
