"",BBK01.OEYL06N,BBK01.OEYL06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:28,
2002-01,0.012,
2002-04,0.015,
2002-07,0.016,
2002-10,0.016,
2003-01,0.016,
2003-04,0.016,
2003-07,0.017,
2003-10,0.017,
2004-01,0.020,
2004-04,0.018,
2004-07,0.021,
2004-10,0.022,
2005-01,0.021,
2005-04,0.021,
2005-07,0.021,
2005-10,0.021,
2006-01,0.020,
2006-04,0.023,
2006-07,0.024,
2006-10,0.024,
2007-01,0.027,
2007-04,0.026,
2007-07,0.024,
2007-10,0.024,
2008-01,0.023,
2008-04,0.022,
2008-07,0.018,
2008-10,0.024,
2009-01,0.027,
2009-04,0.029,
2009-07,0.032,
2009-10,0.038,
2010-01,0.048,
2010-04,0.052,
2010-07,0.051,
2010-10,0.052,
2011-01,0.052,
2011-04,0.051,
2011-07,0.051,
2011-10,0.054,
2012-01,0.111,
2012-04,0.112,
2012-07,0.112,
2012-10,0.100,
2013-01,0.080,
2013-04,0.076,
2013-07,0.069,
2013-10,0.063,
2014-01,0.060,
2014-04,0.041,
2014-07,0.039,
