"",BBDP1.M.DE.Y.APE1.G.GP09SA000000.I10.A,BBDP1.M.DE.Y.APE1.G.GP09SA000000.I10.A_FLAGS
"","Indices of foreign trade prices -  imports, total / Germany / Calendar and seasonally adjusted / Total",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 08:07:20,
1970-01,43.5,
1970-02,43.6,
1970-03,43.7,
1970-04,43.8,
1970-05,44.0,
1970-06,44.0,
1970-07,44.3,
1970-08,44.2,
1970-09,44.4,
1970-10,44.4,
1970-11,44.2,
1970-12,44.0,
1971-01,44.1,
1971-02,44.1,
1971-03,44.4,
1971-04,44.7,
1971-05,44.7,
1971-06,44.8,
1971-07,44.6,
1971-08,44.3,
1971-09,44.0,
1971-10,43.6,
1971-11,43.4,
1971-12,43.4,
1972-01,42.8,
1972-02,42.7,
1972-03,42.8,
1972-04,43.0,
1972-05,43.3,
1972-06,43.4,
1972-07,43.6,
1972-08,44.3,
1972-09,44.5,
1972-10,45.3,
1972-11,45.3,
1972-12,45.8,
1973-01,47.0,
1973-02,46.9,
1973-03,46.8,
1973-04,47.5,
1973-05,48.8,
1973-06,49.2,
1973-07,48.9,
1973-08,49.1,
1973-09,49.1,
1973-10,50.4,
1973-11,53.9,
1973-12,55.9,
1974-01,61.7,
1974-02,62.9,
1974-03,63.4,
1974-04,63.1,
1974-05,63.1,
1974-06,62.9,
1974-07,63.7,
1974-08,64.5,
1974-09,65.0,
1974-10,65.0,
1974-11,64.6,
1974-12,63.6,
1975-01,62.1,
1975-02,61.1,
1975-03,61.0,
1975-04,60.9,
1975-05,60.9,
1975-06,60.9,
1975-07,61.9,
1975-08,63.3,
1975-09,64.1,
1975-10,64.7,
1975-11,64.6,
1975-12,65.0,
1976-01,65.0,
1976-02,64.9,
1976-03,64.9,
1976-04,65.4,
1976-05,65.9,
1976-06,66.8,
1976-07,67.7,
1976-08,67.5,
1976-09,67.5,
1976-10,66.8,
1976-11,66.7,
1976-12,66.9,
1977-01,67.2,
1977-02,67.7,
1977-03,68.3,
1977-04,68.4,
1977-05,68.5,
1977-06,67.8,
1977-07,67.2,
1977-08,66.8,
1977-09,66.8,
1977-10,66.7,
1977-11,66.5,
1977-12,65.9,
1978-01,65.1,
1978-02,64.3,
1978-03,64.3,
1978-04,64.3,
1978-05,64.9,
1978-06,65.1,
1978-07,65.0,
1978-08,64.9,
1978-09,64.9,
1978-10,64.7,
1978-11,65.2,
1978-12,65.2,
1979-01,65.9,
1979-02,67.3,
1979-03,68.3,
1979-04,69.8,
1979-05,71.1,
1979-06,73.0,
1979-07,74.2,
1979-08,74.5,
1979-09,74.7,
1979-10,75.6,
1979-11,76.4,
1979-12,77.3,
1980-01,80.3,
1980-02,81.0,
1980-03,82.2,
1980-04,83.1,
1980-05,82.7,
1980-06,82.6,
1980-07,82.6,
1980-08,83.0,
1980-09,82.9,
1980-10,84.9,
1980-11,86.5,
1980-12,87.2,
1981-01,89.3,
1981-02,91.0,
1981-03,91.5,
1981-04,92.6,
1981-05,94.1,
1981-06,95.5,
1981-07,97.2,
1981-08,99.1,
1981-09,97.2,
1981-10,96.4,
1981-11,95.9,
1981-12,95.9,
1982-01,96.2,
1982-02,96.6,
1982-03,96.6,
1982-04,96.4,
1982-05,95.3,
1982-06,96.2,
1982-07,96.6,
1982-08,97.1,
1982-09,97.3,
1982-10,98.2,
1982-11,98.4,
1982-12,96.6,
1983-01,95.4,
1983-02,94.9,
1983-03,93.8,
1983-04,94.0,
1983-05,94.4,
1983-06,95.3,
1983-07,96.3,
1983-08,98.3,
1983-09,98.5,
1983-10,97.9,
1983-11,99.1,
1983-12,100.0,
