"",BBK01.OEAJ06N,BBK01.OEAJ06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:32,
2002-01,9.246,
2002-04,9.319,
2002-07,9.271,
2002-10,9.206,
2003-01,9.294,
2003-04,9.294,
2003-07,9.335,
2003-10,9.277,
2004-01,9.212,
2004-04,9.317,
2004-07,9.450,
2004-10,9.323,
2005-01,9.309,
2005-04,9.385,
2005-07,9.189,
2005-10,8.932,
2006-01,8.823,
2006-04,8.855,
2006-07,8.685,
2006-10,8.544,
2007-01,8.730,
2007-04,8.710,
2007-07,8.600,
2007-10,8.377,
2008-01,8.135,
2008-04,8.015,
2008-07,7.551,
2008-10,7.424,
2009-01,7.258,
2009-04,7.410,
2009-07,7.506,
2009-10,7.398,
2010-01,7.467,
2010-04,7.197,
2010-07,7.102,
2010-10,7.038,
2011-01,7.026,
2011-04,6.896,
2011-07,6.901,
2011-10,6.773,
2012-01,6.544,
2012-04,6.450,
2012-07,6.341,
2012-10,6.252,
2013-01,6.084,
2013-04,5.980,
2013-07,5.913,
2013-10,5.801,
2014-01,5.692,
2014-04,5.386,
2014-07,5.147,
