"",BBK01.OEAP03U,BBK01.OEAP03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:17:05,
2002-01,15.714,
2002-04,17.187,
2002-07,14.892,
2002-10,14.099,
2003-01,14.847,
2003-04,16.066,
2003-07,16.145,
2003-10,14.986,
2004-01,10.009,
2004-04,2.101,
2004-07,1.871,
2004-10,1.623,
2005-01,1.489,
2005-04,1.323,
2005-07,1.378,
2005-10,1.354,
2006-01,1.172,
2006-04,1.253,
2006-07,1.004,
2006-10,1.221,
2007-01,0.801,
2007-04,0.770,
2007-07,0.682,
2007-10,0.685,
2008-01,0.699,
2008-04,0.804,
2008-07,0.856,
2008-10,0.705,
2009-01,0.548,
2009-04,0.605,
2009-07,0.500,
2009-10,0.397,
2010-01,0.404,
2010-04,0.295,
2010-07,0.262,
2010-10,0.285,
2011-01,0.244,
2011-04,0.240,
2011-07,0.227,
2011-10,0.233,
2012-01,0.201,
2012-04,0.209,
2012-07,0.167,
2012-10,0.183,
2013-01,0.146,
2013-04,0.158,
2013-07,0.135,
2013-10,0.108,
2014-01,0.125,
2014-04,0.103,
2014-07,0.089,
