"",BBK01.OEAA21H,BBK01.OEAA21H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:50,
2002-01,111.820,
2002-04,111.288,
2002-07,111.079,
2002-10,110.255,
2003-01,108.458,
2003-04,107.925,
2003-07,106.460,
2003-10,108.934,
2004-01,106.903,
2004-04,105.348,
2004-07,102.923,
2004-10,100.101,
2005-01,100.963,
2005-04,100.046,
2005-07,100.348,
2005-10,100.527,
2006-01,100.934,
2006-04,101.435,
2006-07,101.305,
2006-10,100.594,
2007-01,100.428,
2007-04,100.422,
2007-07,100.660,
2007-10,101.340,
2008-01,103.286,
2008-04,103.845,
2008-07,103.977,
2008-10,106.536,
2009-01,106.026,
2009-04,97.590,
2009-07,99.383,
2009-10,100.583,
2010-01,98.736,
2010-04,99.313,
2010-07,98.085,
2010-10,98.275,
2011-01,99.455,
2011-04,99.785,
2011-07,103.158,
2011-10,106.314,
2012-01,105.693,
2012-04,106.896,
2012-07,107.354,
2012-10,108.616,
2013-01,109.297,
2013-04,109.368,
2013-07,107.351,
2013-10,107.201,
2014-01,107.000,
2014-04,107.711,
2014-07,109.158,
