"",BBK01.OEAB03J,BBK01.OEAB03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:48,
2002-01,2.732,
2002-04,2.608,
2002-07,2.481,
2002-10,2.300,
2003-01,2.287,
2003-04,2.235,
2003-07,2.245,
2003-10,2.009,
2004-01,2.074,
2004-04,2.432,
2004-07,2.503,
2004-10,2.399,
2005-01,2.440,
2005-04,2.537,
2005-07,2.631,
2005-10,2.712,
2006-01,2.696,
2006-04,2.694,
2006-07,2.941,
2006-10,2.347,
2007-01,2.296,
2007-04,2.437,
2007-07,2.564,
2007-10,2.717,
2008-01,2.739,
2008-04,2.949,
2008-07,3.100,
2008-10,3.023,
2009-01,2.854,
2009-04,2.768,
2009-07,2.689,
2009-10,2.785,
2010-01,2.644,
2010-04,3.801,
2010-07,3.503,
2010-10,3.456,
2011-01,3.232,
2011-04,2.998,
2011-07,2.935,
2011-10,2.868,
2012-01,2.362,
2012-04,2.431,
2012-07,2.384,
2012-10,2.023,
2013-01,2.067,
2013-04,2.069,
2013-07,2.221,
2013-10,2.176,
2014-01,2.037,
2014-04,2.031,
2014-07,2.195,
