"",BBK01.OEYI02R,BBK01.OEYI02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:45,
2002-01,0.115,
2002-04,0.066,
2002-07,0.086,
2002-10,0.112,
2003-01,0.014,
2003-04,0.020,
2003-07,0.026,
2003-10,0.030,
2004-01,0.022,
2004-04,0.025,
2004-07,0.024,
2004-10,0.022,
2005-01,0.021,
2005-04,0.020,
2005-07,0.025,
2005-10,0.035,
2006-01,0.032,
2006-04,0.043,
2006-07,0.040,
2006-10,0.051,
2007-01,0.053,
2007-04,0.035,
2007-07,0.027,
2007-10,0.018,
2008-01,0.014,
2008-04,0.014,
2008-07,0.022,
2008-10,0.012,
2009-01,0.038,
2009-04,0.012,
2009-07,0.015,
2009-10,0.018,
2010-01,0.013,
2010-04,0.066,
2010-07,0.083,
2010-10,0.091,
2011-01,0.084,
2011-04,0.057,
2011-07,0.091,
2011-10,0.072,
2012-01,0.036,
2012-04,0.038,
2012-07,0.074,
2012-10,0.048,
2013-01,0.026,
2013-04,0.022,
2013-07,0.044,
2013-10,0.038,
2014-01,0.026,
2014-04,0.052,
2014-07,0.054,
