"",BBDA1.M.DE.N.IM.S.A.SK.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.SK.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Slovakia / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:40:01,
1993-01,22529,
1993-02,53338,
1993-03,58048,
1993-04,69136,
1993-05,55858,
1993-06,70317,
1993-07,84328,
1993-08,60046,
1993-09,62724,
1993-10,72067,
1993-11,75835,
1993-12,78147,
1994-01,72684,
1994-02,75524,
1994-03,94591,
1994-04,79784,
1994-05,105711,
1994-06,89533,
1994-07,86239,
1994-08,94402,
1994-09,89324,
1994-10,94350,
1994-11,117152,
1994-12,124503,
1995-01,104791,
1995-02,112589,
1995-03,150637,
1995-04,119680,
1995-05,145801,
1995-06,155679,
1995-07,128762,
1995-08,126822,
1995-09,154783,
1995-10,125614,
1995-11,144862,
1995-12,135230,
1996-01,109551,
1996-02,149781,
1996-03,150286,
1996-04,144289,
1996-05,151283,
1996-06,147482,
1996-07,142529,
1996-08,113424,
1996-09,159232,
1996-10,166892,
1996-11,177529,
1996-12,139975,
1997-01,160472,
1997-02,199222,
1997-03,154485,
1997-04,210577,
1997-05,150299,
1997-06,183775,
1997-07,175829,
1997-08,180259,
1997-09,160966,
1997-10,191411,
1997-11,183992,
1997-12,186542,
1998-01,166157,
1998-02,206246,
1998-03,204696,
1998-04,308930,
1998-05,233722,
1998-06,266224,
1998-07,191373,
1998-08,336065,
1998-09,296503,
1998-10,307026,
1998-11,170826,
1998-12,401927,
1999-01,224174,
1999-02,272588,
1999-03,323212,
1999-04,272058,
1999-05,270560,
1999-06,266610,
1999-07,254380,
1999-08,218107,
1999-09,282940,
1999-10,284097,
1999-11,229211,
1999-12,299065,
2000-01,247731,
2000-02,310983,
2000-03,347518,
2000-04,310825,
2000-05,232962,
2000-06,221871,
2000-07,240278,
2000-08,258860,
2000-09,331774,
2000-10,363740,
2000-11,321119,
2000-12,236027,
2001-01,327353,
2001-02,311622,
2001-03,402745,
2001-04,348578,
2001-05,270983,
2001-06,384859,
2001-07,422446,
2001-08,355774,
2001-09,271967,
2001-10,402929,
2001-11,410911,
2001-12,352765,
2002-01,334815,
2002-02,332752,
2002-03,363196,
2002-04,424032,
2002-05,415081,
2002-06,435472,
2002-07,442550,
2002-08,403925,
2002-09,434256,
2002-10,498471,
2002-11,456575,
2002-12,539449,
2003-01,564180,
2003-02,489939,
2003-03,571056,
2003-04,617782,
2003-05,561375,
2003-06,603152,
2003-07,706305,
2003-08,543672,
2003-09,640836,
2003-10,712309,
2003-11,652817,
2003-12,672007,
2004-01,711895,
2004-02,644097,
2004-03,694508,
2004-04,764587,
2004-05,695117,
2004-06,494956,
2004-07,541136,
2004-08,619728,
2004-09,489466,
2004-10,605951,
2004-11,606836,
2004-12,496840,
2005-01,512213,
2005-02,513530,
2005-03,450173,
2005-04,509509,
2005-05,647061,
2005-06,581365,
2005-07,594678,
2005-08,465839,
2005-09,672646,
2005-10,669182,
2005-11,723237,
2005-12,536253,
2006-01,499546,
2006-02,600622,
2006-03,611892,
2006-04,627233,
2006-05,579252,
2006-06,597297,
2006-07,633400,
2006-08,522469,
2006-09,652124,
2006-10,707598,
2006-11,690134,
2006-12,646830,
2007-01,598434,
2007-02,722377,
2007-03,781420,
2007-04,670107,
2007-05,677191,
2007-06,745768,
2007-07,780165,
2007-08,759260,
2007-09,772884,
2007-10,908110,
2007-11,861619,
2007-12,685030,
2008-01,686320,
2008-02,746618,
2008-03,736315,
2008-04,730660,
2008-05,727891,
2008-06,832682,
2008-07,683441,
2008-08,673130,
2008-09,755326,
2008-10,767414,
2008-11,657667,
2008-12,495771,
2009-01,526927,
2009-02,531264,
2009-03,665374,
2009-04,540597,
2009-05,499988,
2009-06,624469,
2009-07,561457,
2009-08,538658,
2009-09,662953,
2009-10,735923,
2009-11,711851,
2009-12,722511,
2010-01,544352,
2010-02,618111,
2010-03,736239,
2010-04,771186,
2010-05,772135,
2010-06,798984,
2010-07,769648,
2010-08,749147,
2010-09,862958,
2010-10,938106,
2010-11,848419,
2010-12,765070,
2011-01,748256,
2011-02,792104,
2011-03,959510,
2011-04,849448,
2011-05,931219,
2011-06,932469,
2011-07,882628,
2011-08,804565,
2011-09,959162,
2011-10,981300,
2011-11,1050900,
2011-12,834538,
2012-01,838403,
2012-02,977802,
2012-03,1111189,
2012-04,1018785,
2012-05,1059691,
2012-06,1025774,
2012-07,975187,
2012-08,903262,
2012-09,1038006,
2012-10,1180923,
2012-11,1088164,
2012-12,797912,
2013-01,891200,
2013-02,984484,
2013-03,960173,
2013-04,1068431,
2013-05,1068634,
2013-06,1006654,
2013-07,929252,
2013-08,959324,
2013-09,1084595,
2013-10,1218229,
2013-11,1118161,
2013-12,963786,
2014-01,1002737,
2014-02,1112037,
2014-03,1119092,
2014-04,1100613,
2014-05,1114137,
2014-06,1087813,
2014-07,1038172,
2014-08,852316,
2014-09,1158955,
2014-10,1227443,
2014-11,1121627,
2014-12,979789,
