"",BBFN1.M.DE.N.1.L.CA.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CA.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Canada,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:35,
1982-09,0.142,
1982-10,0.145,
1982-11,0.149,
1982-12,0.155,
1983-01,0.151,
1983-02,0.154,
1983-03,0.151,
1983-04,0.153,
1983-05,0.155,
1983-06,0.208,
1983-07,0.211,
1983-08,0.215,
1983-09,0.217,
1983-10,0.215,
1983-11,0.214,
1983-12,0.240,
1984-01,0.242,
1984-02,0.244,
1984-03,0.234,
1984-04,0.235,
1984-05,0.240,
1984-06,0.160,
1984-07,0.163,
1984-08,0.163,
1984-09,0.167,
1984-10,0.171,
1984-11,0.172,
1984-12,0.093,
1985-01,0.093,
1985-02,0.092,
1985-03,0.094,
1985-04,0.057,
1985-05,0.057,
1985-06,0.053,
1985-07,0.052,
1985-08,0.052,
1985-09,0.053,
1985-10,0.053,
1985-11,0.051,
1985-12,0.047,
1986-01,0.038,
1986-02,0.037,
1986-03,0.037,
1986-04,0.046,
1986-05,0.045,
1986-06,0.044,
1986-07,0.049,
1986-08,0.049,
1986-09,0.065,
1986-10,0.063,
1986-11,0.054,
1986-12,0.060,
1987-01,0.059,
1987-02,0.060,
1987-03,0.056,
1987-04,0.051,
1987-05,0.051,
1987-06,0.051,
1987-07,0.048,
1987-08,0.048,
1987-09,0.048,
1987-10,0.048,
1987-11,0.071,
1987-12,0.046,
1988-01,0.046,
1988-02,0.067,
1988-03,0.066,
1988-04,0.067,
1988-05,0.069,
1988-06,0.087,
1988-07,0.067,
1988-08,0.186,
1988-09,0.186,
1988-10,0.187,
1988-11,0.178,
1988-12,0.154,
1989-01,0.151,
1989-02,0.155,
1989-03,0.159,
1989-04,0.162,
1989-05,0.163,
1989-06,0.067,
1989-07,0.066,
1989-08,0.067,
1989-09,0.066,
1989-10,0.066,
1989-11,0.066,
1989-12,0.064,
1990-01,0.064,
1990-02,0.064,
1990-03,0.066,
1990-04,0.066,
1990-05,0.066,
1990-06,0.066,
1990-07,0.066,
1990-08,0.065,
