"",BBK01.OEAH61P,BBK01.OEAH61P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:44,
2002-01,0.411,
2002-04,0.410,
2002-07,0.403,
2002-10,0.422,
2003-01,0.427,
2003-04,0.427,
2003-07,0.426,
2003-10,0.437,
2004-01,0.445,
2004-04,0.443,
2004-07,0.488,
2004-10,0.499,
2005-01,0.523,
2005-04,0.527,
2005-07,0.529,
2005-10,0.541,
2006-01,0.548,
2006-04,0.539,
2006-07,0.547,
2006-10,0.558,
2007-01,0.568,
2007-04,0.571,
2007-07,0.572,
2007-10,0.611,
2008-01,0.640,
2008-04,0.649,
2008-07,0.669,
2008-10,0.691,
2009-01,0.685,
2009-04,0.660,
2009-07,0.649,
2009-10,0.663,
2010-01,0.650,
2010-04,0.643,
2010-07,0.644,
2010-10,0.656,
2011-01,0.674,
2011-04,0.673,
2011-07,0.666,
2011-10,0.681,
2012-01,0.691,
2012-04,0.678,
2012-07,0.658,
2012-10,0.657,
2013-01,0.651,
2013-04,0.646,
2013-07,0.640,
2013-10,0.657,
2014-01,0.660,
2014-04,0.663,
2014-07,0.666,
