"",BBSF2.M.1.S.00000.DAC01.A.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.DAC01.A.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Sales receipts / Not defined / Distribution funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:34,
2009-09,2670,
2009-10,585,
2009-11,239,
2009-12,886,
2010-01,159,
2010-02,333,
2010-03,317,
2010-04,328,
2010-05,123,
2010-06,73,
2010-07,354,
2010-08,3687,
2010-09,447,
2010-10,354,
2010-11,365,
2010-12,1732,
2011-01,311,
2011-02,105,
2011-03,280,
2011-04,197,
2011-05,409,
2011-06,411,
2011-07,315,
2011-08,207,
2011-09,749,
2011-10,486,
2011-11,196,
2011-12,1433,
2012-01,259,
2012-02,135,
2012-03,293,
2012-04,156,
2012-05,106,
2012-06,565,
2012-07,9023,
2012-08,61,
2012-09,28,
2012-10,872,
2012-11,65,
2012-12,1335,
2013-01,936,
2013-02,131,
2013-03,190,
2013-04,538,
2013-05,15,
2013-06,615,
2013-07,30,
2013-08,171,
2013-09,213,
2013-10,192,
2013-11,269,
2013-12,1393,
2014-01,41,
2014-02,247,
2014-03,646,
2014-04,362,
2014-05,96,
2014-06,576,
2014-07,518,
2014-08,455,
2014-09,341,
2014-10,373,
2014-11,695,
