"",BBK01.OEAE32M,BBK01.OEAE32M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:31,
2002-01,2.343,
2002-04,2.352,
2002-07,2.333,
2002-10,2.320,
2003-01,2.319,
2003-04,2.321,
2003-07,2.299,
2003-10,2.281,
2004-01,2.275,
2004-04,2.277,
2004-07,2.243,
2004-10,2.237,
2005-01,2.189,
2005-04,2.178,
2005-07,2.159,
2005-10,2.136,
2006-01,2.101,
2006-04,2.065,
2006-07,2.053,
2006-10,2.053,
2007-01,2.028,
2007-04,2.023,
2007-07,2.005,
2007-10,1.977,
2008-01,1.955,
2008-04,1.952,
2008-07,1.950,
2008-10,1.917,
2009-01,1.892,
2009-04,1.916,
2009-07,1.877,
2009-10,1.893,
2010-01,1.974,
2010-04,1.995,
2010-07,2.015,
2010-10,1.870,
2011-01,1.888,
2011-04,1.881,
2011-07,1.859,
2011-10,1.852,
2012-01,1.854,
2012-04,1.861,
2012-07,1.868,
2012-10,1.875,
2013-01,1.857,
2013-04,1.847,
2013-07,1.854,
2013-10,1.851,
2014-01,1.833,
2014-04,1.877,
2014-07,1.866,
