"",BBK01.OECL03J,BBK01.OECL03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:32,
2002-01,0.188,
2002-04,0.165,
2002-07,0.157,
2002-10,0.150,
2003-01,0.116,
2003-04,0.101,
2003-07,0.076,
2003-10,0.072,
2004-01,0.065,
2004-04,0.051,
2004-07,0.049,
2004-10,0.054,
2005-01,0.090,
2005-04,0.086,
2005-07,0.083,
2005-10,0.086,
2006-01,0.102,
2006-04,0.102,
2006-07,0.117,
2006-10,0.134,
2007-01,0.139,
2007-04,0.157,
2007-07,0.198,
2007-10,0.266,
2008-01,0.290,
2008-04,0.302,
2008-07,0.374,
2008-10,0.366,
2009-01,0.286,
2009-04,0.261,
2009-07,0.185,
2009-10,0.162,
2010-01,0.109,
2010-04,0.086,
2010-07,0.069,
2010-10,0.064,
2011-01,0.073,
2011-04,0.077,
2011-07,0.070,
2011-10,0.075,
2012-01,0.070,
2012-04,0.144,
2012-07,0.137,
2012-10,0.112,
2013-01,0.085,
2013-04,0.070,
2013-07,0.036,
2013-10,0.043,
2014-01,0.042,
2014-04,0.043,
2014-07,0.033,
