"",BBK01.OEAF15M,BBK01.OEAF15M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:30,
2002-01,3.296,
2002-04,3.346,
2002-07,3.434,
2002-10,3.318,
2003-01,3.104,
2003-04,3.088,
2003-07,3.101,
2003-10,2.963,
2004-01,2.746,
2004-04,2.706,
2004-07,2.702,
2004-10,2.566,
2005-01,2.466,
2005-04,2.533,
2005-07,2.602,
2005-10,2.465,
2006-01,2.335,
2006-04,2.386,
2006-07,2.427,
2006-10,2.292,
2007-01,2.158,
2007-04,2.167,
2007-07,2.201,
2007-10,2.176,
2008-01,2.197,
2008-04,2.245,
2008-07,2.469,
2008-10,2.275,
2009-01,2.154,
2009-04,2.211,
2009-07,2.191,
2009-10,2.062,
2010-01,1.977,
2010-04,2.025,
2010-07,2.037,
2010-10,1.962,
2011-01,1.921,
2011-04,1.907,
2011-07,1.973,
2011-10,1.902,
2012-01,1.856,
2012-04,1.839,
2012-07,1.874,
2012-10,1.818,
2013-01,1.791,
2013-04,1.781,
2013-07,1.848,
2013-10,1.792,
2014-01,1.745,
2014-04,1.754,
2014-07,1.779,
