"",BBK01.OEAA45N,BBK01.OEAA45N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:20,
2002-01,79.846,
2002-04,80.235,
2002-07,80.791,
2002-10,77.011,
2003-01,76.218,
2003-04,75.232,
2003-07,75.420,
2003-10,68.516,
2004-01,71.212,
2004-04,69.701,
2004-07,68.496,
2004-10,59.032,
2005-01,62.451,
2005-04,63.081,
2005-07,65.258,
2005-10,66.171,
2006-01,66.110,
2006-04,65.423,
2006-07,66.187,
2006-10,66.945,
2007-01,64.414,
2007-04,66.624,
2007-07,67.205,
2007-10,66.663,
2008-01,65.863,
2008-04,66.609,
2008-07,51.319,
2008-10,51.987,
2009-01,51.727,
2009-04,54.583,
2009-07,56.785,
2009-10,57.219,
2010-01,57.409,
2010-04,59.107,
2010-07,59.397,
2010-10,60.446,
2011-01,60.665,
2011-04,60.431,
2011-07,60.737,
2011-10,61.083,
2012-01,61.070,
2012-04,60.348,
2012-07,59.860,
2012-10,59.400,
2013-01,57.765,
2013-04,57.483,
2013-07,55.549,
2013-10,55.039,
2014-01,54.345,
2014-04,53.983,
2014-07,53.548,
