"",BBK01.OEAP03O,BBK01.OEAP03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:58,
2002-01,5.805,
2002-04,5.146,
2002-07,4.921,
2002-10,4.109,
2003-01,4.404,
2003-04,3.476,
2003-07,3.784,
2003-10,3.125,
2004-01,3.591,
2004-04,3.951,
2004-07,3.924,
2004-10,3.642,
2005-01,5.128,
2005-04,5.005,
2005-07,4.787,
2005-10,5.046,
2006-01,4.292,
2006-04,4.277,
2006-07,4.525,
2006-10,3.550,
2007-01,3.403,
2007-04,3.039,
2007-07,2.938,
2007-10,2.963,
2008-01,2.939,
2008-04,2.668,
2008-07,2.538,
2008-10,2.302,
2009-01,2.562,
2009-04,2.063,
2009-07,2.061,
2009-10,1.988,
2010-01,1.765,
2010-04,1.585,
2010-07,1.585,
2010-10,1.419,
2011-01,1.567,
2011-04,1.270,
2011-07,1.293,
2011-10,1.149,
2012-01,1.079,
2012-04,1.232,
2012-07,0.989,
2012-10,0.862,
2013-01,1.023,
2013-04,0.830,
2013-07,0.630,
2013-10,0.671,
2014-01,0.597,
2014-04,0.476,
2014-07,0.531,
