"",BBK01.OEBM02M,BBK01.OEBM02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:24,
2002-01,0.064,
2002-04,0.090,
2002-07,0.043,
2002-10,0.092,
2003-01,0.083,
2003-04,0.075,
2003-07,0.092,
2003-10,0.064,
2004-01,0.107,
2004-04,0.127,
2004-07,0.143,
2004-10,0.088,
2005-01,0.157,
2005-04,0.283,
2005-07,0.203,
2005-10,0.157,
2006-01,0.175,
2006-04,0.150,
2006-07,0.318,
2006-10,0.315,
2007-01,0.203,
2007-04,0.239,
2007-07,0.273,
2007-10,0.217,
2008-01,0.188,
2008-04,0.161,
2008-07,0.131,
2008-10,0.411,
2009-01,0.451,
2009-04,0.636,
2009-07,0.768,
2009-10,0.467,
2010-01,0.681,
2010-04,0.848,
2010-07,0.797,
2010-10,0.925,
2011-01,0.734,
2011-04,0.469,
2011-07,0.687,
2011-10,0.948,
2012-01,0.942,
2012-04,1.008,
2012-07,1.364,
2012-10,1.426,
2013-01,1.388,
2013-04,1.346,
2013-07,1.417,
2013-10,1.044,
2014-01,0.926,
2014-04,0.978,
2014-07,1.173,
