"",BBK01.OEBM05V,BBK01.OEBM05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:48,
2002-01,0.021,
2002-04,0.021,
2002-07,0.021,
2002-10,0.020,
2003-01,0.020,
2003-04,0.020,
2003-07,0.021,
2003-10,0.009,
2004-01,0.009,
2004-04,0.009,
2004-07,0.008,
2004-10,0.009,
2005-01,0.009,
2005-04,0.009,
2005-07,0.009,
2005-10,0.008,
2006-01,0.008,
2006-04,0.008,
2006-07,0.002,
2006-10,0.001,
2007-01,0.001,
2007-04,0.001,
2007-07,0.001,
2007-10,0.001,
2008-01,0.001,
2008-04,0.004,
2008-07,0.004,
2008-10,0.003,
2009-01,0.006,
2009-04,0.006,
2009-07,0.008,
2009-10,0.009,
2010-01,0.008,
2010-04,0.005,
2010-07,0.006,
2010-10,0.006,
2011-01,0.006,
2011-04,0.006,
2011-07,0.012,
2011-10,0.012,
2012-01,0.088,
2012-04,0.204,
2012-07,0.222,
2012-10,0.259,
2013-01,0.259,
2013-04,0.339,
2013-07,0.343,
2013-10,0.342,
2014-01,0.370,
2014-04,0.302,
2014-07,0.280,
