"",BBK01.OEAH10K,BBK01.OEAH10K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:32,
2002-01,1.335,
2002-04,1.303,
2002-07,1.252,
2002-10,1.230,
2003-01,1.139,
2003-04,1.075,
2003-07,1.022,
2003-10,0.961,
2004-01,0.925,
2004-04,0.872,
2004-07,0.822,
2004-10,0.816,
2005-01,0.762,
2005-04,0.702,
2005-07,0.650,
2005-10,0.613,
2006-01,0.580,
2006-04,0.494,
2006-07,0.458,
2006-10,0.438,
2007-01,0.413,
2007-04,0.402,
2007-07,0.387,
2007-10,0.368,
2008-01,0.361,
2008-04,0.329,
2008-07,0.325,
2008-10,0.322,
2009-01,0.314,
2009-04,0.305,
2009-07,0.289,
2009-10,0.335,
2010-01,0.392,
2010-04,0.513,
2010-07,0.529,
2010-10,0.567,
2011-01,0.565,
2011-04,0.676,
2011-07,0.726,
2011-10,0.738,
2012-01,0.787,
2012-04,0.797,
2012-07,0.832,
2012-10,0.858,
2013-01,0.797,
2013-04,0.705,
2013-07,0.682,
2013-10,0.675,
2014-01,0.663,
2014-04,0.651,
2014-07,2.030,
