"",BBK01.OEHM08N,BBK01.OEHM08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:11,
2002-01,0.225,
2002-04,0.219,
2002-07,0.216,
2002-10,0.216,
2003-01,0.219,
2003-04,0.210,
2003-07,0.174,
2003-10,0.166,
2004-01,0.171,
2004-04,0.159,
2004-07,0.167,
2004-10,0.168,
2005-01,0.121,
2005-04,0.113,
2005-07,0.107,
2005-10,0.108,
2006-01,0.089,
2006-04,0.083,
2006-07,0.067,
2006-10,0.079,
2007-01,0.069,
2007-04,0.058,
2007-07,0.056,
2007-10,0.059,
2008-01,0.061,
2008-04,0.051,
2008-07,0.043,
2008-10,0.037,
2009-01,0.036,
2009-04,0.039,
2009-07,0.041,
2009-10,0.042,
2010-01,0.044,
2010-04,0.050,
2010-07,0.053,
2010-10,0.052,
2011-01,0.063,
2011-04,0.064,
2011-07,0.064,
2011-10,0.066,
2012-01,0.065,
2012-04,0.066,
2012-07,0.064,
2012-10,0.058,
2013-01,0.051,
2013-04,0.049,
2013-07,0.051,
2013-10,0.059,
2014-01,0.056,
2014-04,0.056,
2014-07,0.086,
