"",BBK01.OEAB12J,BBK01.OEAB12J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:51,
2002-01,5.048,
2002-04,5.058,
2002-07,5.209,
2002-10,5.488,
2003-01,5.486,
2003-04,5.410,
2003-07,5.388,
2003-10,5.503,
2004-01,5.563,
2004-04,5.674,
2004-07,5.659,
2004-10,5.733,
2005-01,6.072,
2005-04,6.252,
2005-07,6.342,
2005-10,6.613,
2006-01,6.729,
2006-04,6.739,
2006-07,6.740,
2006-10,5.901,
2007-01,5.958,
2007-04,6.119,
2007-07,6.374,
2007-10,6.455,
2008-01,6.518,
2008-04,6.748,
2008-07,6.772,
2008-10,6.888,
2009-01,6.826,
2009-04,6.965,
2009-07,6.954,
2009-10,7.109,
2010-01,7.117,
2010-04,9.746,
2010-07,9.603,
2010-10,9.932,
2011-01,9.882,
2011-04,9.801,
2011-07,9.985,
2011-10,10.157,
2012-01,9.644,
2012-04,10.327,
2012-07,10.217,
2012-10,10.107,
2013-01,10.178,
2013-04,10.152,
2013-07,10.228,
2013-10,10.121,
2014-01,10.266,
2014-04,10.254,
2014-07,10.254,
