"",BBSF2.M.1.P.00000.IMM01.I.F.BGG.U3.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.BGG.U3.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Participations in real estate companies / EU member states not belonging to the Euro area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:35,
2009-09,2783,
2009-10,2780,
2009-11,2821,
2009-12,2876,
2010-01,2834,
2010-02,2878,
2010-03,2886,
2010-04,2897,
2010-05,2947,
2010-06,2993,
2010-07,3028,
2010-08,3164,
2010-09,3042,
2010-10,2998,
2010-11,3022,
2010-12,3032,
2011-01,3004,
2011-02,2758,
2011-03,2825,
2011-04,2760,
2011-05,2651,
2011-06,2550,
2011-07,2544,
2011-08,2579,
2011-09,2581,
2011-10,2591,
2011-11,2593,
2011-12,2602,
2012-01,2620,
2012-02,2632,
2012-03,2619,
2012-04,2633,
2012-05,2623,
2012-06,2606,
2012-07,2614,
2012-08,2604,
2012-09,2582,
2012-10,2563,
2012-11,2615,
2012-12,2649,
2013-01,2618,
2013-02,2701,
2013-03,2632,
2013-04,2617,
2013-05,2596,
2013-06,2556,
2013-07,2378,
2013-08,2369,
2013-09,2413,
2013-10,2352,
2013-11,2351,
2013-12,2290,
2014-01,2208,
2014-02,2201,
2014-03,2170,
2014-04,2146,
2014-05,2148,
2014-06,2159,
2014-07,2150,
2014-08,2131,
2014-09,2132,
2014-10,2056,
2014-11,2054,
