"",BBK01.OEAC18T,BBK01.OEAC18T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:36,
2002-01,0.071,
2002-04,0.064,
2002-07,0.068,
2002-10,0.074,
2003-01,0.121,
2003-04,0.106,
2003-07,0.088,
2003-10,0.095,
2004-01,0.093,
2004-04,0.086,
2004-07,0.086,
2004-10,0.108,
2005-01,0.107,
2005-04,0.116,
2005-07,0.103,
2005-10,0.126,
2006-01,0.107,
2006-04,0.111,
2006-07,0.100,
2006-10,0.096,
2007-01,0.108,
2007-04,0.104,
2007-07,0.089,
2007-10,0.149,
2008-01,0.145,
2008-04,0.138,
2008-07,0.117,
2008-10,0.131,
2009-01,0.137,
2009-04,0.150,
2009-07,0.145,
2009-10,0.136,
2010-01,0.152,
2010-04,0.162,
2010-07,0.084,
2010-10,0.087,
2011-01,0.078,
2011-04,0.077,
2011-07,0.076,
2011-10,0.077,
2012-01,0.080,
2012-04,0.127,
2012-07,0.107,
2012-10,0.131,
2013-01,0.101,
2013-04,0.105,
2013-07,0.093,
2013-10,0.092,
2014-01,0.078,
2014-04,0.075,
2014-07,0.074,
