"",BBK01.OELI07O,BBK01.OELI07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:07,
2002-01,12.495,
2002-04,12.384,
2002-07,12.336,
2002-10,12.487,
2003-01,12.544,
2003-04,12.462,
2003-07,12.354,
2003-10,12.579,
2004-01,12.542,
2004-04,12.504,
2004-07,12.413,
2004-10,12.520,
2005-01,12.412,
2005-04,12.295,
2005-07,12.178,
2005-10,12.252,
2006-01,12.117,
2006-04,12.098,
2006-07,11.977,
2006-10,11.917,
2007-01,11.499,
2007-04,11.176,
2007-07,10.870,
2007-10,10.490,
2008-01,10.224,
2008-04,9.915,
2008-07,9.314,
2008-10,9.061,
2009-01,9.072,
2009-04,9.330,
2009-07,9.717,
2009-10,10.267,
2010-01,10.737,
2010-04,10.873,
2010-07,10.926,
2010-10,10.992,
2011-01,10.955,
2011-04,10.968,
2011-07,10.908,
2011-10,11.066,
2012-01,11.038,
2012-04,10.985,
2012-07,10.878,
2012-10,10.793,
2013-01,10.655,
2013-04,10.541,
2013-07,10.495,
2013-10,10.596,
2014-01,10.728,
2014-04,10.680,
2014-07,10.562,
