"",BBK01.OEAH95P,BBK01.OEAH95P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:56,
2002-01,0.220,
2002-04,0.211,
2002-07,0.210,
2002-10,0.215,
2003-01,0.217,
2003-04,0.215,
2003-07,0.206,
2003-10,0.213,
2004-01,0.209,
2004-04,0.203,
2004-07,0.195,
2004-10,0.196,
2005-01,0.191,
2005-04,0.173,
2005-07,0.172,
2005-10,0.175,
2006-01,0.170,
2006-04,0.171,
2006-07,0.168,
2006-10,0.168,
2007-01,0.168,
2007-04,0.168,
2007-07,0.166,
2007-10,0.173,
2008-01,0.175,
2008-04,0.173,
2008-07,0.170,
2008-10,0.183,
2009-01,0.182,
2009-04,0.182,
2009-07,0.179,
2009-10,0.185,
2010-01,0.180,
2010-04,0.182,
2010-07,0.181,
2010-10,0.184,
2011-01,0.177,
2011-04,0.179,
2011-07,0.173,
2011-10,0.174,
2012-01,0.173,
2012-04,0.172,
2012-07,0.173,
2012-10,0.175,
2013-01,0.175,
2013-04,0.172,
2013-07,0.170,
2013-10,0.171,
2014-01,0.168,
2014-04,0.165,
2014-07,0.160,
