"",BBNZ1.Q.DE.S.G.0026.A,BBNZ1.Q.DE.S.G.0026.A_FLAGS
"",Germany / National accounts / Overall economy / Entrepreneurial and property income / Seasonally adjusted only,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:05,
1991-01,93.700,
1991-04,90.559,
1991-07,90.271,
1991-10,92.714,
1992-01,98.021,
1992-04,93.139,
1992-07,91.441,
1992-10,92.823,
1993-01,92.478,
1993-04,93.469,
1993-07,94.749,
1993-10,92.994,
1994-01,94.446,
1994-04,98.433,
1994-07,100.939,
1994-10,103.603,
1995-01,102.743,
1995-04,104.294,
1995-07,104.209,
1995-10,104.236,
1996-01,101.420,
1996-04,106.735,
1996-07,106.687,
1996-10,110.580,
1997-01,99.170,
1997-04,114.735,
1997-07,114.397,
1997-10,115.197,
1998-01,113.872,
1998-04,110.160,
1998-07,114.117,
1998-10,112.663,
1999-01,108.723,
1999-04,110.294,
1999-07,110.606,
1999-10,110.547,
2000-01,113.758,
2000-04,108.379,
2000-07,104.958,
2000-10,106.224,
2001-01,114.934,
2001-04,113.446,
2001-07,114.236,
2001-10,115.686,
2002-01,111.593,
2002-04,116.599,
2002-07,118.594,
2002-10,114.806,
2003-01,113.035,
2003-04,113.970,
2003-07,121.802,
2003-10,118.207,
2004-01,130.155,
2004-04,139.616,
2004-07,137.336,
2004-10,136.721,
2005-01,133.205,
2005-04,148.786,
2005-07,144.297,
2005-10,145.202,
2006-01,157.018,
2006-04,161.037,
2006-07,160.766,
2006-10,167.876,
2007-01,172.661,
2007-04,167.082,
2007-07,171.914,
2007-10,174.773,
2008-01,171.486,
2008-04,172.587,
2008-07,164.167,
2008-10,149.900,
2009-01,136.142,
2009-04,137.243,
2009-07,147.854,
2009-10,153.735,
2010-01,153.399,
2010-04,157.252,
2010-07,160.672,
2010-10,167.841,
2011-01,173.236,
2011-04,168.832,
2011-07,174.100,
2011-10,172.498,
2012-01,174.033,
2012-04,163.848,
2012-07,165.214,
2012-10,162.571,
2013-01,162.805,
2013-04,171.938,
2013-07,167.369,
2013-10,169.509,
2014-01,174.683,
2014-04,172.071,
2014-07,173.622,
2014-10,171.480,
