"",BBK01.PC3751,BBK01.PC3751_FLAGS
"",Lending to housing enterprises / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:32:47,
1985-10,0.333,
1986-01,0.308,
1986-04,0.284,
1986-07,0.267,
1986-10,0.197,
1987-01,0.194,
1987-04,0.203,
1987-07,0.207,
1987-10,0.236,
1988-01,0.187,
1988-04,0.200,
1988-07,0.217,
1988-10,0.223,
1989-01,0.199,
1989-04,0.193,
1989-07,0.190,
1989-10,0.210,
1990-01,0.251,
1990-04,0.256,
1990-07,0.251,
1990-10,0.256,
1991-01,0.231,
1991-04,0.237,
1991-07,0.244,
1991-10,0.265,
1992-01,0.322,
1992-04,0.330,
1992-07,0.352,
1992-10,0.774,
1993-01,0.662,
1993-04,0.505,
1993-07,0.566,
1993-10,0.656,
1994-01,0.664,
1994-04,0.602,
1994-07,0.751,
1994-10,0.824,
1995-01,0.789,
1995-04,0.829,
1995-07,0.860,
1995-10,0.834,
1996-01,0.832,
1996-04,0.860,
1996-07,0.920,
1996-10,1.043,
1997-01,0.968,
1997-04,1.076,
1997-07,1.122,
1997-10,1.158,
1998-01,1.154,
1998-04,1.141,
1998-07,1.127,
1998-10,1.249,
1999-01,1.261,
1999-04,1.347,
1999-07,1.443,
1999-10,1.486,
2000-01,1.469,
2000-04,1.487,
2000-07,1.506,
2000-10,1.496,
2001-01,1.601,
2001-04,1.630,
2001-07,1.714,
2001-10,1.825,
2002-01,2.003,
2002-04,4.023,
2002-07,4.064,
2002-10,4.107,
2003-01,4.171,
2003-04,4.270,
2003-07,4.004,
2003-10,3.787,
2004-01,3.692,
2004-04,4.072,
2004-07,4.165,
2004-10,4.270,
2005-01,4.247,
2005-04,4.231,
2005-07,4.832,
2005-10,15.304,
2006-01,15.609,
2006-04,15.331,
2006-07,14.977,
2006-10,14.624,
2007-01,13.995,
2007-04,13.389,
2007-07,13.429,
2007-10,13.814,
2008-01,12.817,
2008-04,13.080,
2008-07,12.941,
2008-10,13.061,
2009-01,12.578,
2009-04,12.287,
2009-07,12.101,
2009-10,11.815,
2010-01,11.495,
2010-04,11.696,
2010-07,11.493,
2010-10,11.419,
2011-01,11.712,
2011-04,11.651,
2011-07,11.619,
2011-10,11.698,
2012-01,11.270,
2012-04,11.299,
2012-07,11.212,
2012-10,11.182,
2013-01,11.173,
2013-04,10.379,
2013-07,10.163,
2013-10,10.301,
2014-01,10.108,
2014-04,9.973,
2014-07,10.019,
2014-10,9.788,
