"",BBK01.OEAD16O,BBK01.OEAD16O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:45,
2002-01,0.286,
2002-04,0.251,
2002-07,0.303,
2002-10,0.248,
2003-01,0.340,
2003-04,0.289,
2003-07,0.297,
2003-10,0.294,
2004-01,0.312,
2004-04,0.323,
2004-07,0.339,
2004-10,0.317,
2005-01,0.321,
2005-04,0.296,
2005-07,0.318,
2005-10,0.307,
2006-01,0.304,
2006-04,0.307,
2006-07,0.326,
2006-10,0.345,
2007-01,0.386,
2007-04,0.377,
2007-07,0.345,
2007-10,0.381,
2008-01,0.428,
2008-04,0.396,
2008-07,0.417,
2008-10,0.423,
2009-01,0.430,
2009-04,0.338,
2009-07,0.340,
2009-10,0.257,
2010-01,0.227,
2010-04,0.415,
2010-07,0.393,
2010-10,0.290,
2011-01,0.382,
2011-04,0.415,
2011-07,0.431,
2011-10,0.421,
2012-01,0.500,
2012-04,0.465,
2012-07,0.443,
2012-10,0.426,
2013-01,0.490,
2013-04,0.431,
2013-07,0.408,
2013-10,0.398,
2014-01,0.484,
2014-04,0.425,
2014-07,0.510,
