"",BBFB1.Q.Y.DE.W1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Primary income / Debit (Uses) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 14:49:17,
1991-01,12.25,
1991-04,14.35,
1991-07,13.57,
1991-10,14.21,
1992-01,13.37,
1992-04,14.06,
1992-07,14.32,
1992-10,14.16,
1993-01,15.36,
1993-04,15.28,
1993-07,15.11,
1993-10,15.18,
1994-01,16.15,
1994-04,15.93,
1994-07,16.38,
1994-10,17.27,
1995-01,17.53,
1995-04,17.05,
1995-07,17.72,
1995-10,18.31,
1996-01,16.39,
1996-04,17.20,
1996-07,20.18,
1996-10,18.37,
1997-01,20.09,
1997-04,21.10,
1997-07,20.65,
1997-10,22.17,
1998-01,21.37,
1998-04,24.03,
1998-07,23.80,
1998-10,24.24,
1999-01,25.40,
1999-04,26.15,
1999-07,26.85,
1999-10,30.23,
2000-01,29.94,
2000-04,32.23,
2000-07,35.10,
2000-10,36.19,
2001-01,32.83,
2001-04,30.94,
2001-07,29.90,
2001-10,29.50,
2002-01,33.55,
2002-04,32.54,
2002-07,33.90,
2002-10,33.64,
2003-01,32.62,
2003-04,32.37,
2003-07,32.84,
2003-10,33.00,
2004-01,31.89,
2004-04,30.27,
2004-07,31.04,
2004-10,32.51,
2005-01,35.53,
2005-04,34.55,
2005-07,37.60,
2005-10,38.96,
2006-01,39.30,
2006-04,39.29,
2006-07,42.52,
2006-10,45.54,
2007-01,51.34,
2007-04,51.96,
2007-07,52.50,
2007-10,50.08,
2008-01,46.60,
2008-04,44.15,
2008-07,39.85,
2008-10,37.08,
2009-01,32.92,
2009-04,32.48,
2009-07,29.78,
2009-10,30.81,
2010-01,34.58,
2010-04,36.84,
2010-07,38.17,
2010-10,38.93,
2011-01,37.09,
2011-04,38.16,
2011-07,36.58,
2011-10,36.44,
2012-01,36.05,
2012-04,35.49,
2012-07,34.99,
2012-10,34.52,
2013-01,34.90,
2013-04,33.51,
2013-07,34.83,
2013-10,33.22,
2014-01,33.34,
2014-04,35.11,Provisional value
2014-07,33.02,Provisional value
2014-10,32.03,Provisional value
