"",BBK01.OECK02N,BBK01.OECK02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:46,
2002-01,1.458,
2002-04,1.657,
2002-07,1.634,
2002-10,1.667,
2003-01,1.703,
2003-04,1.661,
2003-07,1.672,
2003-10,1.705,
2004-01,1.719,
2004-04,1.824,
2004-07,1.780,
2004-10,1.934,
2005-01,2.110,
2005-04,2.216,
2005-07,2.218,
2005-10,2.229,
2006-01,2.163,
2006-04,2.085,
2006-07,2.104,
2006-10,2.143,
2007-01,2.121,
2007-04,2.232,
2007-07,2.207,
2007-10,2.302,
2008-01,2.280,
2008-04,2.367,
2008-07,2.425,
2008-10,2.829,
2009-01,3.385,
2009-04,3.882,
2009-07,3.890,
2009-10,4.154,
2010-01,3.984,
2010-04,4.272,
2010-07,4.258,
2010-10,4.273,
2011-01,4.065,
2011-04,3.883,
2011-07,3.857,
2011-10,3.896,
2012-01,4.081,
2012-04,4.323,
2012-07,4.114,
2012-10,4.164,
2013-01,4.261,
2013-04,4.320,
2013-07,4.522,
2013-10,4.373,
2014-01,4.067,
2014-04,4.181,
2014-07,4.288,
