"",BBK01.OEHK04S,BBK01.OEHK04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:47,
2002-01,0.066,
2002-04,0.059,
2002-07,0.055,
2002-10,0.059,
2003-01,0.052,
2003-04,0.048,
2003-07,0.048,
2003-10,0.048,
2004-01,0.049,
2004-04,0.051,
2004-07,0.054,
2004-10,0.053,
2005-01,0.054,
2005-04,0.054,
2005-07,0.052,
2005-10,0.043,
2006-01,0.057,
2006-04,0.056,
2006-07,0.058,
2006-10,0.063,
2007-01,0.064,
2007-04,0.067,
2007-07,0.076,
2007-10,0.084,
2008-01,0.089,
2008-04,0.091,
2008-07,0.105,
2008-10,0.114,
2009-01,0.094,
2009-04,0.079,
2009-07,0.063,
2009-10,0.058,
2010-01,0.055,
2010-04,0.054,
2010-07,0.052,
2010-10,0.051,
2011-01,0.054,
2011-04,0.053,
2011-07,0.057,
2011-10,0.058,
2012-01,0.060,
2012-04,0.057,
2012-07,0.058,
2012-10,0.058,
2013-01,0.056,
2013-04,0.055,
2013-07,0.057,
2013-10,0.053,
2014-01,0.054,
2014-04,0.052,
2014-07,0.050,
