"",BBK01.OEBM02H,BBK01.OEBM02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:22,
2002-01,0.661,
2002-04,0.532,
2002-07,0.656,
2002-10,0.678,
2003-01,0.558,
2003-04,0.519,
2003-07,0.393,
2003-10,0.464,
2004-01,0.448,
2004-04,0.482,
2004-07,0.431,
2004-10,0.497,
2005-01,0.457,
2005-04,0.634,
2005-07,0.524,
2005-10,0.726,
2006-01,0.708,
2006-04,0.886,
2006-07,0.870,
2006-10,0.690,
2007-01,0.811,
2007-04,0.645,
2007-07,1.321,
2007-10,1.176,
2008-01,1.121,
2008-04,0.762,
2008-07,0.961,
2008-10,1.241,
2009-01,1.145,
2009-04,1.683,
2009-07,1.079,
2009-10,1.553,
2010-01,1.045,
2010-04,1.190,
2010-07,1.110,
2010-10,1.156,
2011-01,0.848,
2011-04,2.215,
2011-07,2.019,
2011-10,1.324,
2012-01,1.578,
2012-04,3.966,
2012-07,3.844,
2012-10,2.893,
2013-01,3.200,
2013-04,2.212,
2013-07,2.920,
2013-10,1.747,
2014-01,1.976,
2014-04,1.805,
2014-07,1.451,
