"",BBDL1.M.DE.N.LMP.LKA000.A0000.A02.D00.0.ABA.A,BBDL1.M.DE.N.LMP.LKA000.A0000.A02.D00.0.ABA.A_FLAGS
2000-11,70364,
2000-12,69646,
2001-01,92062,
2001-02,121508,
2001-03,129517,
2001-04,118870,
2001-05,111032,
2001-06,108644,
2001-07,103052,
2001-08,92137,
2001-09,113806,
2001-10,139943,
2001-11,169224,
2001-12,175513,
2002-01,211743,
2002-02,246425,
2002-03,257669,
2002-04,245212,
2002-05,200673,
2002-06,202109,
2002-07,172784,
2002-08,144761,
2002-09,216489,
2002-10,213811,
2002-11,204872,
2002-12,164657,
2003-01,195182,
2003-02,227489,
2003-03,244340,
2003-04,242186,
2003-05,224507,
2003-06,221850,
2003-07,196443,
2003-08,149781,
2003-09,168830,
2003-10,162819,
2003-11,161774,
2003-12,149034,
2004-01,163951,
2004-02,186268,
2004-03,196610,
2004-04,176762,
2004-05,170901,
2004-06,162195,
2004-07,137693,
2004-08,107242,
2004-09,114751,
2004-10,125318,
2004-11,132573,
2004-12,132633,
2005-01,148399,
2005-02,167993,
2005-03,173776,
2005-04,158872,
2005-05,141953,
2005-06,136701,
2005-07,108564,
2005-08,89446,
2005-09,96188,
2005-10,102419,
2005-11,98021,
2005-12,83732,
2006-01,96113,
2006-02,100742,
2006-03,104829,
2006-04,83259,
2006-05,72048,
2006-06,61528,
2006-07,53932,
2006-08,47935,
2006-09,45979,
2006-10,38833,
2006-11,35519,
2006-12,63049,
2007-01,126257,
2007-02,148436,
2007-03,143945,
2007-04,51024,
2007-05,48308,
2007-06,46257,
2007-07,39345,
2007-08,32342,
2007-09,33658,
2007-10,35787,
2007-11,36660,
2007-12,77782,
2008-01,137759,
2008-02,161090,
2008-03,155523,
2008-04,59066,
2008-05,50973,
2008-06,50411,
2008-07,42694,
2008-08,39416,
2008-09,49965,
2008-10,70983,
2008-11,130133,
2008-12,270472,
2009-01,593597,
2009-02,1079068,
2009-03,1324877,
2009-04,1446417,
2009-05,1468809,
2009-06,1393655,
2009-07,1247843,
2009-08,1054846,
2009-09,1104061,
2009-10,1109091,
2009-11,981782,
2009-12,928843,
2010-01,1056942,
2010-02,1030831,
2010-03,874346,
2010-04,632008,
2010-05,498934,
2010-06,419515,
2010-07,313087,
2010-08,243736,
2010-09,237342,
2010-10,231299,
2010-11,215044,
2010-12,279249,
2011-01,321589,
2011-02,305430,
2011-03,245803,
2011-04,133166,
2011-05,121548,
2011-06,109754,
2011-07,80830,
2011-08,71281,
2011-09,75963,
2011-10,80590,
2011-11,85124,
2011-12,140206,
2012-01,206331,
2012-02,229572,
2012-03,166812,
2012-04,82537,
2012-05,77077,
2012-06,70529,
2012-07,53995,
2012-08,47141,
2012-09,65796,
2012-10,84662,
2012-11,97845,
2012-12,155810,
2013-01,234153,
2013-02,245109,
2013-03,222387,
2013-04,113342,
2013-05,86447,
2013-06,98672,
2013-07,81001,
2013-08,60167,
2013-09,69565,
2013-10,82594,
2013-11,80161,
2013-12,114135,
2014-01,188998,
2014-02,193313,
2014-03,151814,
2014-04,77190,
2014-05,72090,
2014-06,66211,
2014-07,53731,
2014-08,44366,
"",Source: Federal Employment Agency.,
"",Methodology: Number within a month.,
