"",BBK01.OEAC58K,BBK01.OEAC58K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:55,
2002-01,3.946,
2002-04,3.928,
2002-07,4.035,
2002-10,2.031,
2003-01,1.958,
2003-04,1.942,
2003-07,1.701,
2003-10,1.849,
2004-01,1.831,
2004-04,3.482,
2004-07,3.001,
2004-10,2.321,
2005-01,2.220,
2005-04,2.141,
2005-07,1.860,
2005-10,1.926,
2006-01,1.936,
2006-04,1.874,
2006-07,1.868,
2006-10,1.575,
2007-01,1.567,
2007-04,1.510,
2007-07,1.416,
2007-10,1.367,
2008-01,1.347,
2008-04,1.307,
2008-07,1.202,
2008-10,1.164,
2009-01,1.140,
2009-04,1.107,
2009-07,1.161,
2009-10,1.159,
2010-01,1.048,
2010-04,0.852,
2010-07,0.882,
2010-10,0.946,
2011-01,0.935,
2011-04,0.947,
2011-07,1.001,
2011-10,1.042,
2012-01,1.118,
2012-04,1.264,
2012-07,1.373,
2012-10,1.572,
2013-01,1.571,
2013-04,1.574,
2013-07,1.578,
2013-10,1.630,
2014-01,1.627,
2014-04,1.660,
2014-07,1.638,
