"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.JP.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.JP.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Japan,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:34,
2009-09,3322,
2009-10,3196,
2009-11,3081,
2009-12,3312,
2010-01,3774,
2010-02,4001,
2010-03,4439,
2010-04,4469,
2010-05,4305,
2010-06,4003,
2010-07,3785,
2010-08,3687,
2010-09,3595,
2010-10,3599,
2010-11,3955,
2010-12,4339,
2011-01,4376,
2011-02,4825,
2011-03,3796,
2011-04,3488,
2011-05,3451,
2011-06,3357,
2011-07,3545,
2011-08,3198,
2011-09,3255,
2011-10,3142,
2011-11,2964,
2011-12,2946,
2012-01,3030,
2012-02,3075,
2012-03,3019,
2012-04,2962,
2012-05,2920,
2012-06,2922,
2012-07,2883,
2012-08,2798,
2012-09,2649,
2012-10,2575,
2012-11,2568,
2012-12,2627,
2013-01,2684,
2013-02,2940,
2013-03,3288,
2013-04,3644,
2013-05,3458,
2013-06,3560,
2013-07,3546,
2013-08,3411,
2013-09,3636,
2013-10,3491,
2013-11,3681,
2013-12,3713,
2014-01,3609,
2014-02,3498,
2014-03,3294,
2014-04,3285,
2014-05,3556,
2014-06,3721,
2014-07,3775,
2014-08,3723,
2014-09,3859,
2014-10,3771,
2014-11,3789,
