"",BBSF2.M.1.P.00000.GEF01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.P.00000.GEF01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Public funds / Mixed funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:54,
2009-09,14740,
2009-10,14477,
2009-11,14662,
2009-12,15002,
2010-01,15713,
2010-02,16091,
2010-03,17028,
2010-04,17862,
2010-05,17462,
2010-06,17165,
2010-07,17454,
2010-08,17727,
2010-09,17991,
2010-10,18207,
2010-11,18104,
2010-12,18726,
2011-01,18647,
2011-02,18863,
2011-03,18454,
2011-04,18884,
2011-05,18851,
2011-06,18289,
2011-07,17678,
2011-08,16535,
2011-09,16023,
2011-10,16364,
2011-11,16046,
2011-12,16237,
2012-01,16597,
2012-02,16933,
2012-03,16984,
2012-04,17232,
2012-05,17037,
2012-06,16916,
2012-07,17442,
2012-08,17589,
2012-09,17823,
2012-10,18092,
2012-11,18175,
2012-12,18509,
2013-01,18382,
2013-02,18609,
2013-03,19155,
2013-04,19384,
2013-05,19462,
2013-06,18172,
2013-07,18450,
2013-08,18550,
2013-09,18951,
2013-10,18857,
2013-11,18869,
2013-12,18187,
2014-01,17836,
2014-02,18000,
2014-03,18112,
2014-04,18270,
2014-05,18365,
2014-06,18676,
2014-07,18697,
2014-08,15280,
2014-09,15389,
2014-10,15104,
2014-11,15253,
