"",BBSF2.M.1.S.I1252.AKT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.AKT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Sales receipts / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:29,
2009-09,2,
2009-10,51,
2009-11,18,
2009-12,23,
2010-01,162,
2010-02,27,
2010-03,414,
2010-04,563,
2010-05,105,
2010-06,399,
2010-07,71,
2010-08,2,
2010-09,65,
2010-10,22,
2010-11,166,
2010-12,172,
2011-01,165,
2011-02,291,
2011-03,104,
2011-04,184,
2011-05,368,
2011-06,71,
2011-07,187,
2011-08,64,
2011-09,36,
2011-10,22,
2011-11,92,
2011-12,81,
2012-01,246,
2012-02,37,
2012-03,144,
2012-04,14,
2012-05,797,
2012-06,65,
2012-07,29,
2012-08,56,
2012-09,91,
2012-10,197,
2012-11,743,
2012-12,162,
2013-01,493,
2013-02,108,
2013-03,705,
2013-04,672,
2013-05,413,
2013-06,202,
2013-07,115,
2013-08,182,
2013-09,486,
2013-10,610,
2013-11,787,
2013-12,671,
2014-01,128,
2014-02,74,
2014-03,94,
2014-04,444,
2014-05,107,
2014-06,15,
2014-07,733,
2014-08,172,
2014-09,286,
2014-10,212,
2014-11,1699,
