"",BBK01.OEHL09Q,BBK01.OEHL09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:28,
2002-01,1.306,
2002-04,1.322,
2002-07,1.329,
2002-10,1.300,
2003-01,1.230,
2003-04,1.163,
2003-07,1.087,
2003-10,1.056,
2004-01,1.036,
2004-04,1.018,
2004-07,1.033,
2004-10,1.076,
2005-01,1.141,
2005-04,1.141,
2005-07,1.110,
2005-10,1.078,
2006-01,1.072,
2006-04,1.030,
2006-07,1.046,
2006-10,1.094,
2007-01,1.149,
2007-04,1.261,
2007-07,1.340,
2007-10,1.478,
2008-01,1.495,
2008-04,1.579,
2008-07,1.663,
2008-10,1.807,
2009-01,1.653,
2009-04,1.486,
2009-07,1.334,
2009-10,1.185,
2010-01,1.095,
2010-04,1.092,
2010-07,1.132,
2010-10,1.118,
2011-01,1.150,
2011-04,1.210,
2011-07,1.165,
2011-10,1.305,
2012-01,1.335,
2012-04,1.320,
2012-07,1.275,
2012-10,1.094,
2013-01,0.945,
2013-04,0.821,
2013-07,0.720,
2013-10,0.699,
2014-01,0.681,
2014-04,0.700,
2014-07,0.701,
