"",BBK01.OECI01R,BBK01.OECI01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:23,
2002-01,1.106,
2002-04,1.086,
2002-07,1.076,
2002-10,1.176,
2003-01,0.963,
2003-04,0.972,
2003-07,0.957,
2003-10,1.010,
2004-01,0.879,
2004-04,0.907,
2004-07,0.916,
2004-10,1.396,
2005-01,2.097,
2005-04,2.039,
2005-07,2.043,
2005-10,2.154,
2006-01,2.013,
2006-04,2.030,
2006-07,2.099,
2006-10,2.201,
2007-01,2.158,
2007-04,2.208,
2007-07,2.331,
2007-10,2.249,
2008-01,2.262,
2008-04,2.223,
2008-07,2.359,
2008-10,2.513,
2009-01,2.405,
2009-04,2.389,
2009-07,2.515,
2009-10,2.529,
2010-01,2.448,
2010-04,2.416,
2010-07,2.514,
2010-10,2.648,
2011-01,2.520,
2011-04,2.490,
2011-07,2.542,
2011-10,2.587,
2012-01,2.671,
2012-04,2.671,
2012-07,2.781,
2012-10,2.821,
2013-01,2.739,
2013-04,2.742,
2013-07,2.793,
2013-10,2.890,
2014-01,2.828,
2014-04,2.844,
2014-07,2.921,
