"",BBK01.OEAA33Q,BBK01.OEAA33Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:22,
2002-01,33.638,
2002-04,33.635,
2002-07,32.517,
2002-10,32.541,
2003-01,32.355,
2003-04,37.174,
2003-07,37.054,
2003-10,36.780,
2004-01,36.086,
2004-04,33.411,
2004-07,33.137,
2004-10,33.011,
2005-01,33.459,
2005-04,33.342,
2005-07,33.469,
2005-10,33.459,
2006-01,33.499,
2006-04,36.205,
2006-07,33.300,
2006-10,33.169,
2007-01,33.643,
2007-04,32.570,
2007-07,26.490,
2007-10,26.376,
2008-01,26.150,
2008-04,26.145,
2008-07,25.972,
2008-10,25.915,
2009-01,25.769,
2009-04,26.661,
2009-07,26.725,
2009-10,26.803,
2010-01,26.721,
2010-04,26.767,
2010-07,26.551,
2010-10,26.705,
2011-01,26.678,
2011-04,26.654,
2011-07,26.950,
2011-10,26.665,
2012-01,26.591,
2012-04,26.790,
2012-07,27.017,
2012-10,27.028,
2013-01,27.070,
2013-04,27.256,
2013-07,27.499,
2013-10,27.642,
2014-01,27.651,
2014-04,27.835,
2014-07,28.028,
