"",BBK01.CEFXE2,BBK01.CEFXE2_FLAGS
"","Pension entitlements, Claims of pension funds on pension managers, Entitlements to non-pension benefits  debtor: Domestic financial corporations                                   creditor: Total",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:17,
1999-01,179.1,
1999-04,181.8,
1999-07,184.9,
1999-10,188.0,
2000-01,192.7,
2000-04,195.8,
2000-07,199.2,
2000-10,201.7,
2001-01,206.0,
2001-04,208.7,
2001-07,212.0,
2001-10,210.0,
2002-01,214.4,
2002-04,217.1,
2002-07,220.3,
2002-10,219.9,
2003-01,223.7,
2003-04,226.2,
2003-07,228.8,
2003-10,235.2,
2004-01,238.6,
2004-04,241.0,
2004-07,243.3,
2004-10,251.0,
2005-01,254.5,
2005-04,257.2,
2005-07,259.8,
2005-10,272.1,
2006-01,276.1,
2006-04,280.5,
2006-07,287.1,
2006-10,293.2,
2007-01,300.9,
2007-04,306.4,
2007-07,313.9,
2007-10,324.6,
2008-01,328.5,
2008-04,332.8,
2008-07,337.2,
2008-10,341.2,
2009-01,346.1,
2009-04,352.2,
2009-07,358.4,
2009-10,365.4,
2010-01,370.5,
2010-04,376.6,
2010-07,382.2,
2010-10,390.8,
2011-01,395.7,
2011-04,400.1,
2011-07,404.5,
2011-10,411.6,
2012-01,418.6,
2012-04,423.1,
2012-07,428.0,
2012-10,439.6,
2013-01,445.4,
2013-04,449.8,
2013-07,454.3,
2013-10,463.7,
2014-01,470.9,
2014-04,476.1,
2014-07,479.9,
