"",BBFN1.M.DE.N.1.A.FI.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.FI.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Finland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:50,
1982-09,0.004,
1982-10,0.004,
1982-11,0.004,
1982-12,0.004,
1983-01,0.004,
1983-02,0.004,
1983-03,0.004,
1983-04,0.004,
1983-05,0.004,
1983-06,0.004,
1983-07,0.004,
1983-08,0.003,
1983-09,0.003,
1983-10,0.003,
1983-11,0.003,
1983-12,0.003,
1984-01,0.003,
1984-02,0.003,
1984-03,0.003,
1984-04,0.003,
1984-05,0.003,
1984-06,0.004,
1984-07,0.004,
1984-08,0.004,
1984-09,0.005,
1984-10,0.005,
1984-11,0.005,
1984-12,0.005,
1985-01,0.005,
1985-02,0.005,
1985-03,0.005,
1985-04,0.005,
1985-05,0.005,
1985-06,0.006,
1985-07,0.006,
1985-08,0.006,
1985-09,0.006,
1985-10,0.006,
1985-11,0.006,
1985-12,0.006,
1986-01,0.006,
1986-02,0.006,
1986-03,0.006,
1986-04,0.006,
1986-05,0.006,
1986-06,0.006,
1986-07,0.006,
1986-08,0.006,
1986-09,0.006,
1986-10,0.006,
1986-11,0.006,
1986-12,0.004,
1987-01,0.004,
1987-02,0.004,
1987-03,0.004,
1987-04,0.004,
1987-05,0.004,
1987-06,0.004,
1987-07,0.004,
1987-08,0.004,
1987-09,0.004,
1987-10,0.005,
1987-11,0.005,
1987-12,0.004,
1988-01,0.003,
1988-02,0.003,
1988-03,0.003,
1988-04,0.003,
1988-05,0.003,
1988-06,0.003,
1988-07,0.003,
1988-08,0.003,
1988-09,0.003,
1988-10,0.004,
1988-11,0.004,
1988-12,0.003,
1989-01,0.003,
1989-02,0.009,
1989-03,0.009,
1989-04,0.009,
1989-05,0.010,
1989-06,0.013,
1989-07,0.014,
1989-08,0.015,
1989-09,0.013,
1989-10,0.010,
1989-11,0.010,
1989-12,0.014,
1990-01,0.014,
1990-02,0.014,
1990-03,0.015,
1990-04,0.016,
1990-05,0.046,
1990-06,0.046,
1990-07,0.040,
1990-08,0.041,
1990-09,0.041,
1990-10,0.041,
1990-11,0.041,
1990-12,0.040,
1991-01,0.041,
1991-02,0.041,
1991-03,0.047,
1991-04,0.050,
1991-05,0.052,
1991-06,0.052,
1991-07,0.052,
1991-08,0.052,
1991-09,0.053,
1991-10,0.053,
1991-11,0.059,
1991-12,0.054,
1992-01,0.054,
1992-02,0.059,
1992-03,0.058,
1992-04,0.051,
1992-05,0.051,
1992-06,0.051,
1992-07,0.051,
1992-08,0.051,
1992-09,0.051,
1992-10,0.041,
1992-11,0.042,
1992-12,0.041,
1993-01,0.041,
1993-02,0.040,
1993-03,0.040,
1993-04,0.040,
1993-05,0.040,
1993-06,0.040,
1993-07,0.040,
1993-08,0.040,
1993-09,0.040,
1993-10,0.040,
1993-11,0.039,
1993-12,0.039,
1994-01,0.038,
1994-02,0.039,
1994-03,0.040,
1994-04,0.044,
1994-05,0.043,
1994-06,0.038,
1994-07,0.041,
1994-08,0.044,
1994-09,0.042,
1994-10,0.042,
1994-11,0.042,
1994-12,0.020,
1995-01,0.018,
1995-02,0.018,
1995-03,0.018,
1995-04,0.029,
1995-05,0.032,
1995-06,0.021,
1995-07,0.021,
1995-08,0.020,
1995-09,0.022,
1995-10,0.021,
1995-11,0.019,
1995-12,0.018,
1996-01,0.017,
1996-02,0.019,
1996-03,0.019,
1996-04,0.017,
1996-05,0.019,
1996-06,0.019,
1996-07,0.020,
1996-08,0.027,
1996-09,0.028,
1996-10,0.028,
1996-11,0.028,
1996-12,0.019,
1997-01,0.013,
1997-02,0.013,
1997-03,0.013,
1997-04,0.012,
1997-05,0.013,
1997-06,0.014,
1997-07,0.012,
1997-08,0.012,
1997-09,0.012,
1997-10,0.013,
1997-11,0.013,
1997-12,0.013,
1998-01,0.012,
1998-02,0.012,
1998-03,0.009,
1998-04,0.011,
1998-05,0.011,
1998-06,0.011,
1998-07,0.012,
1998-08,0.011,
1998-09,0.011,
1998-10,0.007,
1998-11,0.003,
1998-12,0.019,
1999-01,0.018,
1999-02,0.018,
1999-03,0.018,
1999-04,0.018,
1999-05,0.018,
1999-06,0.018,
1999-07,0.019,
1999-08,0.020,
1999-09,0.022,
1999-10,0.022,
1999-11,0.027,
1999-12,0.026,
2000-01,0.025,
2000-02,0.025,
2000-03,0.025,
2000-04,0.030,
2000-05,0.030,
2000-06,0.030,
2000-07,0.030,
2000-08,0.033,
2000-09,0.033,
2000-10,0.170,
2000-11,0.115,
2000-12,0.115,
2001-01,0.115,
2001-02,0.115,
2001-03,0.123,
2001-04,0.124,
2001-05,0.124,
2001-06,0.125,
2001-07,0.123,
2001-08,0.126,
2001-09,0.126,
2001-10,0.127,
2001-11,0.126,
2001-12,0.122,
2002-01,0.130,
2002-02,0.127,
2002-03,0.150,
2002-04,0.149,
2002-05,0.149,
2002-06,0.194,
2002-07,0.155,
2002-08,0.177,
2002-09,0.176,
2002-10,0.176,
2002-11,0.181,
2002-12,0.202,
2003-01,0.202,
2003-02,0.208,
2003-03,0.275,
2003-04,0.275,
2003-05,0.275,
2003-06,0.293,
2003-07,0.287,
2003-08,0.294,
2003-09,0.325,
2003-10,0.341,
2003-11,0.341,
2003-12,0.342,
2004-01,0.428,
2004-02,0.403,
2004-03,0.480,
2004-04,0.507,
2004-05,0.504,
2004-06,0.432,
2004-07,0.432,
2004-08,0.436,
2004-09,0.432,
2004-10,0.432,
2004-11,0.428,
2004-12,0.453,
2005-01,0.476,
2005-02,0.477,
2005-03,0.477,
2005-04,0.477,
2005-05,0.477,
2005-06,0.513,
2005-07,0.513,
2005-08,0.517,
2005-09,0.531,
2005-10,0.530,
2005-11,0.532,
2005-12,0.545,
2006-01,0.542,
2006-02,0.630,
2006-03,0.627,
2006-04,0.631,
2006-05,0.672,
2006-06,0.729,
2006-07,0.731,
2006-08,0.734,
2006-09,0.781,
2006-10,0.783,
2006-11,0.790,
2006-12,0.713,
2007-01,0.711,
2007-02,0.731,
2007-03,0.786,
2007-04,0.798,
2007-05,0.801,
2007-06,0.794,
2007-07,0.811,
2007-08,0.826,
2007-09,0.851,
2007-10,0.883,
2007-11,0.901,
2007-12,0.889,
2008-01,0.925,
2008-02,0.931,
2008-03,0.922,
2008-04,0.963,
2008-05,0.884,
2008-06,0.843,
2008-07,0.841,
2008-08,0.842,
2008-09,0.814,
2008-10,0.820,
2008-11,0.863,
2008-12,0.856,
2009-01,0.860,
2009-02,0.856,
2009-03,0.957,
2009-04,1.053,
2009-05,1.152,
2009-06,1.226,
2009-07,1.246,
2009-08,1.345,
2009-09,1.484,
2009-10,1.495,
2009-11,1.708,
2009-12,1.695,
2010-01,1.839,
2010-02,1.888,
2010-03,1.823,
2010-04,1.821,
2010-05,1.926,
2010-06,1.914,
2010-07,1.912,
2010-08,1.965,
2010-09,1.984,
2010-10,1.985,
2010-11,2.005,
2010-12,2.032,
2011-01,2.059,
2011-02,2.122,
2011-03,2.322,
2011-04,2.328,
2011-05,2.484,
2011-06,2.485,
2011-07,2.482,
2011-08,2.540,
2011-09,2.497,
2011-10,2.621,
2011-11,2.661,
2011-12,2.765,
2012-01,2.785,
2012-02,2.776,
2012-03,2.915,
2012-04,2.932,
2012-05,2.952,
2012-06,3.071,
2012-07,3.206,
2012-08,3.305,
2012-09,3.290,
2012-10,3.286,
2012-11,3.620,
2012-12,3.648,
2013-01,3.738,
2013-02,3.824,
2013-03,3.867,
2013-04,3.961,
2013-05,4.341,
2013-06,4.434,
2013-07,4.499,
2013-08,4.769,
2013-09,5.056,
2013-10,5.199,
2013-11,5.238,
2013-12,5.271,
2014-01,5.320,
2014-02,5.584,
2014-03,5.683,
2014-04,5.885,
2014-05,5.975,
2014-06,6.085,
2014-07,6.096,
2014-08,6.404,
2014-09,6.397,
2014-10,6.393,
2014-11,6.418,
2014-12,6.353,
