"",BBFN1.M.DE.N.1.A.LY.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LY.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Libya,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:00,
1982-09,0.076,
1982-10,0.083,
1982-11,0.094,
1982-12,0.106,
1983-01,0.080,
1983-02,0.086,
1983-03,0.088,
1983-04,0.133,
1983-05,0.124,
1983-06,0.110,
1983-07,0.144,
1983-08,0.149,
1983-09,0.176,
1983-10,0.146,
1983-11,0.147,
1983-12,0.148,
1984-01,0.145,
1984-02,0.132,
1984-03,0.149,
1984-04,0.133,
1984-05,0.150,
1984-06,0.172,
1984-07,0.168,
1984-08,0.177,
1984-09,0.180,
1984-10,0.193,
1984-11,0.213,
1984-12,0.209,
1985-01,0.233,
1985-02,0.244,
1985-03,0.257,
1985-04,0.262,
1985-05,0.245,
1985-06,0.243,
1985-07,0.258,
1985-08,0.257,
1985-09,0.246,
1985-10,0.256,
1985-11,0.261,
1985-12,0.146,
1986-01,0.152,
1986-02,0.144,
1986-03,0.150,
1986-04,.,No value available
1986-05,0.168,
1986-06,0.196,
1986-07,0.195,
1986-08,0.189,
1986-09,0.178,
1986-10,.,No value available
1986-11,0.167,
1986-12,0.158,
1987-01,0.124,
1987-02,0.109,
1987-03,0.086,
1987-04,0.108,
1987-05,0.094,
1987-06,0.091,
1987-07,0.092,
1987-08,0.095,
1987-09,0.114,
1987-10,0.121,
1987-11,0.128,
1987-12,0.127,
1988-01,0.119,
1988-02,0.126,
1988-03,0.132,
1988-04,0.128,
1988-05,0.130,
1988-06,0.120,
1988-07,0.113,
1988-08,0.112,
1988-09,0.110,
1988-10,0.134,
1988-11,0.152,
1988-12,0.148,
1989-01,0.148,
1989-02,0.143,
1989-03,0.150,
1989-04,0.153,
1989-05,0.145,
1989-06,0.156,
1989-07,0.150,
1989-08,0.155,
1989-09,0.153,
1989-10,0.154,
1989-11,0.152,
1989-12,0.155,
1990-01,0.166,
1990-02,0.150,
1990-03,0.138,
1990-04,0.136,
1990-05,0.139,
1990-06,0.144,
1990-07,0.145,
1990-08,0.150,
1990-09,.,No value available
1990-10,.,No value available
1990-11,.,No value available
1990-12,0.232,
1991-01,0.246,
1991-02,0.251,
1991-03,0.255,
1991-04,0.256,
1991-05,0.256,
1991-06,0.258,
1991-07,0.259,
1991-08,0.251,
1991-09,0.253,
1991-10,0.255,
1991-11,0.254,
1991-12,0.248,
1992-01,0.243,
1992-02,0.246,
1992-03,0.234,
1992-04,0.228,
1992-05,0.228,
1992-06,0.223,
1992-07,0.224,
1992-08,0.218,
1992-09,0.221,
1992-10,0.226,
1992-11,0.221,
1992-12,0.236,
1993-01,0.234,
1993-02,0.236,
1993-03,0.246,
1993-04,0.244,
1993-05,0.241,
1993-06,0.266,
1993-07,0.243,
1993-08,0.261,
1993-09,0.261,
1993-10,0.254,
1993-11,0.253,
1993-12,0.252,
1994-01,0.265,
1994-02,0.240,
1994-03,0.243,
1994-04,0.245,
1994-05,0.242,
1994-06,0.257,
1994-07,0.257,
1994-08,0.261,
1994-09,0.255,
1994-10,0.257,
1994-11,0.263,
1994-12,0.150,
1995-01,0.149,
1995-02,0.123,
1995-03,0.139,
1995-04,0.139,
1995-05,0.140,
1995-06,0.140,
1995-07,0.140,
1995-08,0.140,
1995-09,0.140,
1995-10,0.141,
1995-11,0.144,
1995-12,0.146,
1996-01,0.149,
1996-02,0.151,
1996-03,0.153,
1996-04,0.118,
1996-05,0.117,
1996-06,0.119,
1996-07,0.117,
1996-08,0.120,
1996-09,0.116,
1996-10,0.117,
1996-11,0.122,
