"",BBK01.OEAC49L,BBK01.OEAC49L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:51,
2002-01,4.638,
2002-04,4.449,
2002-07,4.488,
2002-10,4.635,
2003-01,4.343,
2003-04,4.275,
2003-07,4.332,
2003-10,4.238,
2004-01,4.251,
2004-04,4.120,
2004-07,3.980,
2004-10,3.831,
2005-01,3.680,
2005-04,3.579,
2005-07,3.522,
2005-10,3.361,
2006-01,3.259,
2006-04,3.262,
2006-07,3.294,
2006-10,3.124,
2007-01,3.059,
2007-04,3.087,
2007-07,3.176,
2007-10,3.129,
2008-01,3.057,
2008-04,2.975,
2008-07,2.998,
2008-10,3.408,
2009-01,3.849,
2009-04,3.800,
2009-07,3.729,
2009-10,3.622,
2010-01,3.552,
2010-04,3.481,
2010-07,3.609,
2010-10,3.478,
2011-01,3.245,
2011-04,3.182,
2011-07,3.177,
2011-10,3.085,
2012-01,3.040,
2012-04,3.120,
2012-07,3.116,
2012-10,3.092,
2013-01,3.062,
2013-04,2.983,
2013-07,2.958,
2013-10,2.937,
2014-01,2.940,
2014-04,2.983,
2014-07,3.012,
