"",BBK01.OEHB14N,BBK01.OEHB14N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:11,
2002-01,4.685,
2002-04,4.718,
2002-07,4.725,
2002-10,4.625,
2003-01,4.647,
2003-04,4.579,
2003-07,4.498,
2003-10,4.379,
2004-01,4.161,
2004-04,4.135,
2004-07,4.143,
2004-10,3.938,
2005-01,3.862,
2005-04,3.726,
2005-07,3.684,
2005-10,3.655,
2006-01,3.562,
2006-04,3.530,
2006-07,3.473,
2006-10,3.397,
2007-01,3.253,
2007-04,3.252,
2007-07,3.213,
2007-10,3.299,
2008-01,3.241,
2008-04,3.198,
2008-07,3.179,
2008-10,3.267,
2009-01,3.345,
2009-04,3.259,
2009-07,3.188,
2009-10,3.156,
2010-01,3.167,
2010-04,3.134,
2010-07,3.061,
2010-10,3.044,
2011-01,2.955,
2011-04,2.971,
2011-07,2.881,
2011-10,2.852,
2012-01,2.748,
2012-04,2.778,
2012-07,2.725,
2012-10,2.785,
2013-01,2.746,
2013-04,2.708,
2013-07,2.666,
2013-10,2.623,
2014-01,2.557,
2014-04,2.535,
2014-07,2.448,
