"",BBK01.OELO02L,BBK01.OELO02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:55,
2002-01,2.758,
2002-04,1.849,
2002-07,1.815,
2002-10,2.079,
2003-01,2.566,
2003-04,1.889,
2003-07,1.732,
2003-10,2.441,
2004-01,2.481,
2004-04,1.780,
2004-07,1.461,
2004-10,1.850,
2005-01,1.873,
2005-04,1.737,
2005-07,1.373,
2005-10,1.510,
2006-01,1.970,
2006-04,1.753,
2006-07,1.667,
2006-10,1.891,
2007-01,2.163,
2007-04,1.718,
2007-07,1.631,
2007-10,1.680,
2008-01,1.664,
2008-04,1.312,
2008-07,1.259,
2008-10,1.814,
2009-01,2.500,
2009-04,2.021,
2009-07,1.967,
2009-10,2.370,
2010-01,2.210,
2010-04,1.461,
2010-07,1.276,
2010-10,1.259,
2011-01,1.418,
2011-04,1.372,
2011-07,1.218,
2011-10,1.212,
2012-01,1.351,
2012-04,1.210,
2012-07,1.162,
2012-10,1.282,
2013-01,1.366,
2013-04,1.131,
2013-07,1.033,
2013-10,1.156,
2014-01,1.196,
2014-04,1.048,
2014-07,1.005,
