"",BBK01.OEXB19U,BBK01.OEXB19U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:28,
2002-01,0.128,
2002-04,0.129,
2002-07,0.126,
2002-10,0.306,
2003-01,0.344,
2003-04,0.387,
2003-07,0.422,
2003-10,0.444,
2004-01,0.471,
2004-04,0.489,
2004-07,0.505,
2004-10,0.498,
2005-01,0.497,
2005-04,0.482,
2005-07,0.556,
2005-10,0.554,
2006-01,0.561,
2006-04,0.574,
2006-07,0.589,
2006-10,0.602,
2007-01,0.554,
2007-04,0.507,
2007-07,0.463,
2007-10,0.422,
2008-01,0.384,
2008-04,0.352,
2008-07,0.320,
2008-10,0.291,
2009-01,0.273,
2009-04,0.247,
2009-07,0.247,
2009-10,0.231,
2010-01,0.222,
2010-04,0.228,
2010-07,0.211,
2010-10,0.201,
2011-01,0.196,
2011-04,0.189,
2011-07,0.184,
2011-10,0.160,
2012-01,0.154,
2012-04,0.148,
2012-07,0.138,
2012-10,0.134,
2013-01,0.123,
2013-04,0.123,
2013-07,0.128,
2013-10,0.131,
2014-01,0.127,
2014-04,0.127,
2014-07,0.125,
