"",BBK01.OEAE23O,BBK01.OEAE23O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:57,
2002-01,0.090,
2002-04,0.090,
2002-07,0.084,
2002-10,0.083,
2003-01,0.083,
2003-04,0.084,
2003-07,0.082,
2003-10,0.077,
2004-01,0.078,
2004-04,0.079,
2004-07,0.079,
2004-10,0.075,
2005-01,0.073,
2005-04,0.081,
2005-07,0.081,
2005-10,0.070,
2006-01,0.070,
2006-04,0.069,
2006-07,0.067,
2006-10,0.068,
2007-01,0.064,
2007-04,0.062,
2007-07,0.063,
2007-10,0.062,
2008-01,0.062,
2008-04,0.063,
2008-07,0.065,
2008-10,0.061,
2009-01,0.060,
2009-04,0.068,
2009-07,0.068,
2009-10,0.067,
2010-01,0.066,
2010-04,0.061,
2010-07,0.061,
2010-10,0.061,
2011-01,0.062,
2011-04,0.065,
2011-07,0.067,
2011-10,0.064,
2012-01,0.060,
2012-04,0.060,
2012-07,0.062,
2012-10,0.062,
2013-01,0.063,
2013-04,0.064,
2013-07,0.064,
2013-10,0.063,
2014-01,0.070,
2014-04,0.072,
2014-07,0.067,
