"",BBK01.OECB20Q,BBK01.OECB20Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:33,
2002-01,1.824,
2002-04,1.818,
2002-07,1.819,
2002-10,1.826,
2003-01,1.805,
2003-04,1.799,
2003-07,1.822,
2003-10,1.806,
2004-01,1.780,
2004-04,1.778,
2004-07,1.778,
2004-10,2.046,
2005-01,3.038,
2005-04,3.073,
2005-07,3.154,
2005-10,3.248,
2006-01,3.326,
2006-04,3.376,
2006-07,3.421,
2006-10,3.511,
2007-01,3.517,
2007-04,3.723,
2007-07,3.718,
2007-10,3.708,
2008-01,3.703,
2008-04,3.718,
2008-07,3.719,
2008-10,3.710,
2009-01,3.719,
2009-04,4.708,
2009-07,4.671,
2009-10,4.651,
2010-01,4.618,
2010-04,4.588,
2010-07,4.704,
2010-10,4.685,
2011-01,4.602,
2011-04,4.558,
2011-07,4.558,
2011-10,4.541,
2012-01,4.533,
2012-04,4.543,
2012-07,4.574,
2012-10,4.581,
2013-01,4.600,
2013-04,4.622,
2013-07,4.641,
2013-10,4.689,
2014-01,4.726,
2014-04,4.783,
2014-07,4.887,
