"",BBK01.OEAE28L,BBK01.OEAE28L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:14,
2002-01,73.186,
2002-04,72.497,
2002-07,74.696,
2002-10,76.001,
2003-01,80.131,
2003-04,81.558,
2003-07,82.253,
2003-10,81.836,
2004-01,82.203,
2004-04,82.959,
2004-07,83.264,
2004-10,84.334,
2005-01,83.567,
2005-04,83.592,
2005-07,82.869,
2005-10,81.799,
2006-01,81.121,
2006-04,80.011,
2006-07,80.578,
2006-10,79.703,
2007-01,79.738,
2007-04,78.792,
2007-07,82.238,
2007-10,84.327,
2008-01,83.045,
2008-04,79.332,
2008-07,80.984,
2008-10,78.095,
2009-01,76.580,
2009-04,77.673,
2009-07,74.300,
2009-10,73.329,
2010-01,73.554,
2010-04,73.097,
2010-07,70.789,
2010-10,70.633,
2011-01,70.030,
2011-04,69.374,
2011-07,68.587,
2011-10,65.935,
2012-01,65.311,
2012-04,65.764,
2012-07,64.516,
2012-10,62.469,
2013-01,61.832,
2013-04,60.983,
2013-07,60.196,
2013-10,59.447,
2014-01,58.019,
2014-04,56.675,
2014-07,57.012,
