"",BBFB1.Q.N.DE.CH.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:39,
1991-01,27.558,
1991-04,102.851,
1991-07,-34.825,
1991-10,89.504,
1992-01,-8.751,
1992-04,132.648,
1992-07,114.933,
1992-10,153.508,
1993-01,1.559,
1993-04,78.257,
1993-07,50.798,
1993-10,-12.115,
1994-01,70.518,
1994-04,44.642,
1994-07,-93.670,
1994-10,65.900,
1995-01,-235.769,
1995-04,141.715,
1995-07,260.406,
1995-10,334.967,
1996-01,273.493,
1996-04,69.226,
1996-07,213.581,
1996-10,683.941,
1997-01,181.333,
1997-04,530.963,
1997-07,1315.715,
1997-10,898.130,
1998-01,783.403,
1998-04,602.342,
1998-07,445.321,
1998-10,525.626,
1999-01,1240.946,
1999-04,1869.561,
1999-07,1930.006,
1999-10,1868.583,
2000-01,30.057,
2000-04,207.522,
2000-07,368.330,
2000-10,345.701,
2001-01,656.198,
2001-04,539.287,
2001-07,390.195,
2001-10,419.096,
2002-01,272.310,
2002-04,402.618,
2002-07,-132.310,
2002-10,-68.940,
2003-01,142.926,
2003-04,526.547,
2003-07,-127.169,
2003-10,-114.474,
2004-01,-514.518,
2004-04,-643.300,
2004-07,-468.589,
2004-10,-331.071,
2005-01,410.339,
2005-04,260.404,
2005-07,620.603,
2005-10,606.936,
2006-01,-492.518,
2006-04,405.632,
2006-07,371.896,
2006-10,1513.953,
2007-01,1620.458,
2007-04,1562.630,
2007-07,4.161,
2007-10,-143.745,
2008-01,-115.097,
2008-04,399.150,
2008-07,175.929,
2008-10,228.641,
2009-01,-445.064,
2009-04,-899.532,
2009-07,-999.564,
2009-10,-446.791,
2010-01,-456.936,
2010-04,-548.851,
2010-07,-229.240,
2010-10,398.764,
2011-01,140.834,
2011-04,-401.091,
2011-07,-332.919,
2011-10,301.581,
2012-01,-862.236,
2012-04,-990.217,
2012-07,-111.353,
2012-10,-415.262,
2013-01,25.267,
2013-04,20.586,
2013-07,159.441,
2013-10,183.824,
2014-01,-75.889,Provisional value
2014-04,12.834,Provisional value
2014-07,-422.528,Provisional value
2014-10,-518.020,Provisional value
