"",BBK01.OEAM10P,BBK01.OEAM10P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:11,
2002-01,0.076,
2002-04,0.076,
2002-07,0.074,
2002-10,0.073,
2003-01,0.071,
2003-04,0.070,
2003-07,0.069,
2003-10,0.068,
2004-01,0.066,
2004-04,0.066,
2004-07,0.064,
2004-10,0.062,
2005-01,0.047,
2005-04,0.046,
2005-07,0.045,
2005-10,0.043,
2006-01,0.043,
2006-04,0.042,
2006-07,0.042,
2006-10,0.042,
2007-01,0.040,
2007-04,0.039,
2007-07,0.039,
2007-10,0.039,
2008-01,0.038,
2008-04,0.036,
2008-07,0.035,
2008-10,0.034,
2009-01,0.033,
2009-04,0.032,
2009-07,0.030,
2009-10,0.033,
2010-01,0.031,
2010-04,0.031,
2010-07,0.029,
2010-10,0.027,
2011-01,0.026,
2011-04,0.023,
2011-07,0.023,
2011-10,0.021,
2012-01,0.020,
2012-04,0.018,
2012-07,0.017,
2012-10,0.016,
2013-01,0.015,
2013-04,0.013,
2013-07,0.013,
2013-10,0.011,
2014-01,0.010,
2014-04,0.013,
2014-07,0.012,
