"",BBK01.OEBO01L,BBK01.OEBO01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:46,
2002-01,4.055,
2002-04,-2.097,
2002-07,4.047,
2002-10,6.036,
2003-01,5.956,
2003-04,5.845,
2003-07,7.969,
2003-10,6.515,
2004-01,6.026,
2004-04,6.378,
2004-07,9.362,
2004-10,7.063,
2005-01,9.826,
2005-04,9.854,
2005-07,9.267,
2005-10,8.299,
2006-01,9.246,
2006-04,9.620,
2006-07,9.463,
2006-10,9.801,
2007-01,9.808,
2007-04,10.238,
2007-07,9.807,
2007-10,9.269,
2008-01,8.653,
2008-04,8.270,
2008-07,8.120,
2008-10,9.893,
2009-01,8.929,
2009-04,9.154,
2009-07,10.168,
2009-10,12.160,
2010-01,12.759,
2010-04,13.636,
2010-07,11.008,
2010-10,10.994,
2011-01,10.936,
2011-04,11.936,
2011-07,9.933,
2011-10,9.870,
2012-01,9.695,
2012-04,10.139,
2012-07,10.117,
2012-10,9.941,
2013-01,9.797,
2013-04,9.474,
2013-07,9.378,
2013-10,9.361,
2014-01,9.451,
2014-04,9.384,
2014-07,9.337,
