"",BBK01.WJ5009,BBK01.WJ5009_FLAGS
"",Exchange rates on the Frankfurt exchange / USD 1 = DM ... / United States,
unit,DEM (hypothetically euro-based),
unit multiplier,one,
last update,2012-04-18 09:19:11,
1953,4.2000,
1954,4.1993,
1955,4.2107,
1956,4.2027,
1957,4.2012,
1958,4.1919,
1959,4.1791,
1960,4.1704,
1961,4.0221,
1962,3.9978,
1963,3.9864,
1964,3.9748,
1965,3.9943,
1966,3.9982,
1967,3.9866,
1968,3.9923,
1969,3.9244,
1970,3.6463,
1971,3.4795,
1972,3.1889,
1973,2.6590,
1974,2.5897,
1975,2.4631,
1976,2.5173,
1977,2.3217,
1978,2.0084,
1979,1.8330,
1980,1.8158,
1981,2.2610,
1982,2.4287,
1983,2.5552,
1984,2.8456,
1985,2.9424,
1986,2.1708,
1987,1.7982,
1988,1.7584,
1989,1.8813,
1990,1.6161,
1991,1.6612,
1992,1.5595,
1993,1.6544,
1994,1.6218,
1995,1.4338,
1996,1.5037,
1997,1.7348,
1998,1.7592,
"","General: Average calculated from daily quotations. From 10 August 1953 to 30 December 1998 official quotation on the Frankfurt exchange. From January 1999, euro reference exchange rates of the European Central Bank; see wj5636.",
