"",BBK01.OEXI03R,BBK01.OEXI03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:44,
2002-01,0.594,
2002-04,0.563,
2002-07,0.572,
2002-10,0.540,
2003-01,0.487,
2003-04,0.496,
2003-07,0.497,
2003-10,0.482,
2004-01,0.480,
2004-04,0.400,
2004-07,0.388,
2004-10,0.325,
2005-01,0.310,
2005-04,0.261,
2005-07,0.299,
2005-10,0.300,
2006-01,0.345,
2006-04,0.376,
2006-07,0.383,
2006-10,0.395,
2007-01,0.485,
2007-04,0.594,
2007-07,0.591,
2007-10,0.649,
2008-01,0.866,
2008-04,0.862,
2008-07,0.895,
2008-10,0.711,
2009-01,0.291,
2009-04,0.211,
2009-07,0.126,
2009-10,0.092,
2010-01,0.117,
2010-04,0.116,
2010-07,0.101,
2010-10,0.109,
2011-01,0.205,
2011-04,0.211,
2011-07,0.254,
2011-10,0.844,
2012-01,1.043,
2012-04,1.123,
2012-07,1.214,
2012-10,1.292,
2013-01,1.444,
2013-04,1.360,
2013-07,1.354,
2013-10,1.240,
2014-01,1.279,
2014-04,1.317,
2014-07,1.052,
