"",BBK01.OELJ01M,BBK01.OELJ01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:17,
2002-01,2.656,
2002-04,2.753,
2002-07,2.779,
2002-10,2.995,
2003-01,2.850,
2003-04,2.905,
2003-07,2.975,
2003-10,3.161,
2004-01,3.050,
2004-04,3.131,
2004-07,3.360,
2004-10,3.285,
2005-01,3.203,
2005-04,3.307,
2005-07,3.399,
2005-10,3.622,
2006-01,3.447,
2006-04,3.450,
2006-07,3.623,
2006-10,3.685,
2007-01,3.738,
2007-04,3.778,
2007-07,3.841,
2007-10,3.886,
2008-01,3.872,
2008-04,3.979,
2008-07,4.449,
2008-10,4.333,
2009-01,4.495,
2009-04,4.566,
2009-07,4.802,
2009-10,4.956,
2010-01,4.993,
2010-04,4.971,
2010-07,5.197,
2010-10,5.338,
2011-01,5.431,
2011-04,5.563,
2011-07,5.693,
2011-10,5.648,
2012-01,5.664,
2012-04,5.674,
2012-07,5.893,
2012-10,5.980,
2013-01,5.880,
2013-04,5.820,
2013-07,6.248,
2013-10,6.410,
2014-01,6.620,
2014-04,6.700,
2014-07,7.124,
