"",BBK01.CEF208,BBK01.CEF208_FLAGS
"",Currency and deposits                        debtor: Total                                                     creditor: Non-money market funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:08,
1999-01,6.0,
1999-04,5.4,
1999-07,5.7,
1999-10,4.7,
2000-01,6.5,
2000-04,5.5,
2000-07,4.5,
2000-10,4.2,
2001-01,4.5,
2001-04,4.8,
2001-07,5.8,
2001-10,8.2,
2002-01,8.3,
2002-04,8.0,
2002-07,8.4,
2002-10,8.6,
2003-01,9.0,
2003-04,6.9,
2003-07,7.4,
2003-10,7.2,
2004-01,6.5,
2004-04,6.7,
2004-07,10.4,
2004-10,7.5,
2005-01,8.7,
2005-04,8.1,
2005-07,9.1,
2005-10,4.4,
2006-01,3.3,
2006-04,3.5,
2006-07,2.6,
2006-10,3.3,
2007-01,2.3,
2007-04,3.2,
2007-07,3.6,
2007-10,3.9,
2008-01,4.0,
2008-04,3.5,
2008-07,4.9,
2008-10,4.7,
2009-01,4.2,
2009-04,3.8,
2009-07,2.9,
2009-10,2.8,
2010-01,2.4,
2010-04,2.6,
2010-07,2.2,
2010-10,2.4,
2011-01,2.6,
2011-04,2.3,
2011-07,0.7,
2011-10,0.6,
2012-01,0.5,
2012-04,0.5,
2012-07,0.4,
2012-10,0.4,
2013-01,0.7,
2013-04,0.6,
2013-07,0.4,
2013-10,0.4,
2014-01,0.3,
2014-04,0.3,
2014-07,0.3,
