"",BBEX3.M.IDR.EUR.BB.AC.A01,BBEX3.M.IDR.EUR.BB.AC.A01_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = IDR ... / Indonesia,
unit,IDR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:32,
1999-01,10158.00,
1999-02,9726.93,
1999-03,9344.25,
1999-04,8718.05,
1999-05,8468.58,
1999-06,6883.62,
1999-07,7310.38,
1999-08,8147.27,
1999-09,8959.03,
1999-10,7221.26,
1999-11,7401.19,
1999-12,7052.77,
2000-01,7271.31,
2000-02,7201.82,
2000-03,7262.40,
2000-04,7199.83,
2000-05,8034.24,
2000-06,8359.72,
2000-07,8223.52,
2000-08,7376.34,
2000-09,7686.90,
2000-10,7916.64,
2000-11,8266.37,
2000-12,9077.75,
2001-01,8787.49,
2001-02,9088.62,
2001-03,9188.24,
2001-04,10297.93,
2001-05,9434.57,
2001-06,9659.29,
2001-07,8314.89,
2001-08,8113.62,
2001-09,8874.74,
2001-10,9468.89,
2001-11,9314.38,
2001-12,9227.43,
2002-01,8910.10,
2002-02,8780.26,
2002-03,8570.35,
2002-04,8405.87,
2002-05,8159.13,
2002-06,8692.09,
2002-07,8867.35,
2002-08,8706.68,
2002-09,8868.54,
2002-10,9104.94,
2002-11,8912.42,
2002-12,9387.21,
2003-01,9596.46,
2003-02,9579.52,
2003-03,9698.19,
2003-04,9653.18,
2003-05,9829.49,
2003-06,9451.79,
2003-07,9632.05,
2003-08,9274.96,
2003-09,9784.38,
2003-10,9876.76,
2003-11,10202.18,
2003-12,10643.10,
2004-01,10474.16,
2004-02,10495.62,
2004-03,10470.16,
2004-04,10496.49,
2004-05,11310.53,
2004-06,11426.17,
2004-07,10991.15,
2004-08,11354.07,
2004-09,11367.10,
2004-10,11584.31,
2004-11,11999.90,
2004-12,12653.91,
2005-01,11952.66,
2005-02,12271.74,
2005-03,12274.89,
2005-04,12386.89,
2005-05,11723.70,
2005-06,11804.82,
2005-07,11857.19,
2005-08,12557.84,
2005-09,12391.22,
2005-10,12161.26,
2005-11,11810.19,
2005-12,11596.45,
2006-01,11359.41,
2006-02,10904.22,
2006-03,10972.28,
2006-04,11041.34,
2006-05,11909.33,
2006-06,11776.05,
2006-07,11611.59,
2006-08,11690.55,
2006-09,11678.85,
2006-10,11569.23,
2006-11,12097.80,
2006-12,11844.44,
2007-01,11788.14,
2007-02,12063.62,
2007-03,12152.68,
2007-04,12357.42,
2007-05,11879.00,
2007-06,12201.77,
2007-07,12644.71,
2007-08,12869.00,
2007-09,12966.70,
2007-10,13142.44,
2007-11,13831.06,
2007-12,13826.70,
2008-01,13749.55,
2008-02,13800.00,
2008-03,14570.76,
2008-04,14330.99,
2008-05,14445.70,
2008-06,14550.17,
2008-07,14198.20,
2008-08,13482.53,
2008-09,13487.73,
2008-10,13905.13,
2008-11,15590.58,
2008-12,15239.12,
2009-01,14610.24,
2009-02,15147.51,
2009-03,15570.36,
2009-04,14071.50,
2009-05,14539.26,
2009-06,14427.58,
2009-07,14068.37,
2009-08,14390.15,
2009-09,14130.03,
2009-10,14180.74,
2009-11,14222.64,
2009-12,13626.13,
2010-01,13071.23,
2010-02,12652.04,
2010-03,12227.26,
2010-04,11996.54,
2010-05,11276.14,
2010-06,11121.85,
2010-07,11647.09,
2010-08,11471.82,
2010-09,12173.44,
2010-10,12383.89,
2010-11,11765.09,
2010-12,12002.14,
2011-01,12401.38,
2011-02,12196.50,
2011-03,12366.75,
2011-04,12728.25,
2011-05,12288.98,
2011-06,12397.41,
2011-07,12128.59,
2011-08,12325.63,
2011-09,12253.97,
2011-10,12397.32,
2011-11,12225.17,
2011-12,11731.47,
2012-01,11835.56,
2012-02,12158.52,
2012-03,12245.24,
2012-04,12139.14,
2012-05,11816.10,
2012-06,11878.51,
2012-07,11606.59,
2012-08,12042.49,
2012-09,12380.86,
2012-10,12481.56,
2012-11,12470.89,
2012-12,12713.97,
2013-01,13141.28,
2013-02,12702.12,
2013-03,12447.96,
2013-04,12705.30,
2013-05,12742.47,
2013-06,12980.41,
2013-07,13621.57,
2013-08,14918.52,
2013-09,15425.27,
2013-10,15375.34,
2013-11,15980.55,
2013-12,16764.78,
2014-01,16464.58,
2014-02,16038.85,
2014-03,15663.17,
2014-04,16011.07,
2014-05,15927.20,
2014-06,16248.15,
2014-07,15490.58,
2014-08,15437.61,
2014-09,15366.97,
2014-10,15169.68,
2014-11,15284.73,
2014-12,15076.10,
2015-01,14342.10,
2015-02,14555.96,
"","General: Up to March 2005, ECB indicative rates. Since April 2005 euro foreign exchange reference rates of the ECB, which are calculated on the basis of the concertation between central banks at 14.15.",
"",Source: European Central Bank (ECB).,
